"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","33,400.0","32,600.0","34,000.0","32,600.0","1.08M","3.41%"
"05/05/2025","32,300.0","31,800.0","32,300.0","31,450.0","588.60K","2.70%"
"29/04/2025","31,450.0","31,650.0","31,800.0","31,300.0","404.90K","-0.47%"
"28/04/2025","31,600.0","31,800.0","32,250.0","31,500.0","340.90K","-0.32%"
"25/04/2025","31,700.0","32,600.0","32,650.0","31,650.0","510.90K","-0.94%"
"24/04/2025","32,000.0","31,850.0","32,750.0","31,300.0","751.90K","1.75%"
"23/04/2025","31,450.0","31,500.0","31,700.0","31,000.0","474.40K","2.44%"
"22/04/2025","30,700.0","31,400.0","31,400.0","29,400.0","1.54M","-2.85%"
"21/04/2025","31,600.0","32,700.0","32,750.0","31,550.0","457.00K","-2.77%"
"18/04/2025","32,500.0","31,500.0","33,250.0","31,500.0","1.03M","3.83%"
"17/04/2025","31,300.0","30,000.0","31,350.0","30,000.0","562.60K","3.30%"
"16/04/2025","30,300.0","31,800.0","32,000.0","30,300.0","887.10K","-5.46%"
"15/04/2025","32,050.0","32,650.0","32,750.0","32,000.0","1.20M","-4.47%"
"14/04/2025","33,550.0","34,700.0","34,700.0","33,300.0","821.30K","1.67%"
"11/04/2025","33,000.0","30,850.0","33,000.0","30,700.0","1.65M","6.97%"
"10/04/2025","30,850.0","30,850.0","30,850.0","30,850.0","823.60K","6.93%"
"09/04/2025","28,850.0","28,850.0","29,600.0","28,850.0","1.99M","-6.94%"
"08/04/2025","31,000.0","31,000.0","31,700.0","31,000.0","541.20K","-6.91%"
"04/04/2025","33,300.0","33,300.0","33,800.0","33,300.0","1.84M","-6.98%"
"03/04/2025","35,800.0","35,800.0","37,800.0","35,800.0","903.70K","-6.89%"
"02/04/2025","38,450.0","38,600.0","38,900.0","38,100.0","332.20K","-0.26%"
"01/04/2025","38,550.0","38,150.0","38,700.0","38,150.0","450.20K","1.45%"
"31/03/2025","38,000.0","39,000.0","39,000.0","37,500.0","793.90K","-3.31%"
"28/03/2025","39,300.0","39,950.0","39,950.0","39,300.0","257.40K","-1.63%"
"27/03/2025","39,950.0","39,500.0","40,200.0","39,150.0","662.20K","0.63%"
"26/03/2025","39,700.0","41,050.0","41,050.0","39,400.0","1.41M","-3.29%"
