"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","21,850.0","21,500.0","21,900.0","21,500.0","398.60K","1.63%"
"05/05/2025","21,500.0","21,150.0","21,600.0","21,150.0","326.70K","0.70%"
"29/04/2025","21,350.0","21,700.0","21,850.0","21,150.0","284.20K","-1.61%"
"28/04/2025","21,700.0","21,800.0","22,150.0","21,550.0","386.70K","0.00%"
"25/04/2025","21,700.0","21,250.0","22,100.0","21,250.0","871.90K","4.08%"
"24/04/2025","20,850.0","20,400.0","20,900.0","20,350.0","620.50K","1.71%"
"23/04/2025","20,500.0","20,600.0","20,700.0","20,200.0","361.20K","-0.49%"
"22/04/2025","20,600.0","20,150.0","20,900.0","19,350.0","812.40K","-0.96%"
"21/04/2025","20,800.0","20,700.0","21,000.0","20,400.0","462.80K","-0.95%"
"18/04/2025","21,000.0","20,450.0","21,450.0","20,400.0","560.00K","2.69%"
"17/04/2025","20,450.0","19,600.0","20,450.0","19,600.0","357.50K","1.49%"
"16/04/2025","20,150.0","20,300.0","20,550.0","19,900.0","328.30K","-0.74%"
"15/04/2025","20,300.0","20,450.0","20,550.0","20,000.0","418.60K","-2.17%"
"14/04/2025","20,750.0","20,850.0","20,850.0","20,300.0","361.70K","0.48%"
"11/04/2025","20,650.0","20,850.0","20,850.0","19,600.0","938.00K","5.63%"
"10/04/2025","19,550.0","19,550.0","19,550.0","19,550.0","79.70K","6.83%"
"09/04/2025","18,300.0","18,300.0","18,900.0","18,300.0","1.07M","-6.87%"
"08/04/2025","19,650.0","21,100.0","21,100.0","19,650.0","228.70K","-6.87%"
"04/04/2025","21,100.0","20,900.0","21,700.0","20,900.0","1.37M","-6.01%"
"03/04/2025","22,450.0","23,450.0","23,450.0","22,450.0","615.70K","-6.85%"
"02/04/2025","24,100.0","24,150.0","24,250.0","23,700.0","327.30K","-0.41%"
"01/04/2025","24,200.0","23,400.0","24,200.0","23,400.0","343.70K","0.00%"
"31/03/2025","24,200.0","24,500.0","24,500.0","23,500.0","531.70K","-1.02%"
"28/03/2025","24,450.0","24,900.0","24,900.0","24,350.0","209.30K","-1.41%"
"27/03/2025","24,800.0","24,200.0","24,800.0","24,200.0","610.80K","2.48%"
"26/03/2025","24,200.0","24,150.0","24,300.0","23,950.0","334.60K","-0.21%"
"25/03/2025","24,250.0","24,150.0","24,250.0","24,000.0","429.50K","0.62%"
"24/03/2025","24,100.0","24,000.0","24,350.0","23,900.0","238.00K","0.00%"
"21/03/2025","24,100.0","23,450.0","24,200.0","23,450.0","490.70K","2.12%"
"20/03/2025","23,600.0","24,100.0","24,400.0","23,500.0","596.90K","-1.87%"
"19/03/2025","24,050.0","24,750.0","24,750.0","24,050.0","799.20K","-2.83%"
"18/03/2025","24,750.0","24,750.0","24,800.0","24,400.0","321.80K","-0.20%"
"17/03/2025","24,800.0","25,100.0","25,100.0","24,250.0","951.10K","-0.80%"
"14/03/2025","25,000.0","24,800.0","25,000.0","24,500.0","746.60K","0.81%"
"13/03/2025","24,800.0","25,400.0","25,650.0","24,700.0","1.23M","-2.75%"
"12/03/2025","25,500.0","26,750.0","27,000.0","25,450.0","3.01M","-5.03%"
"11/03/2025","26,850.0","26,350.0","26,900.0","26,350.0","681.40K","-0.19%"
"10/03/2025","26,900.0","27,450.0","27,550.0","26,850.0","683.80K","-1.47%"
"07/03/2025","27,300.0","26,200.0","27,500.0","26,100.0","3.43M","5.00%"
"06/03/2025","26,000.0","25,900.0","26,000.0","25,600.0","444.00K","0.39%"
"05/03/2025","25,900.0","26,000.0","26,050.0","25,600.0","650.50K","-0.77%"
"04/03/2025","26,100.0","25,900.0","26,150.0","25,800.0","490.50K","-0.38%"
"03/03/2025","26,200.0","26,200.0","26,300.0","25,900.0","376.00K","0.00%"
"28/02/2025","26,200.0","26,350.0","26,500.0","25,950.0","503.00K","-0.57%"
"27/02/2025","26,350.0","26,600.0","26,600.0","26,000.0","411.90K","-0.57%"
"26/02/2025","26,500.0","26,500.0","26,950.0","26,400.0","610.60K","0.00%"
"25/02/2025","26,500.0","26,250.0","26,500.0","25,900.0","599.80K","1.34%"
"24/02/2025","26,150.0","26,000.0","26,200.0","25,800.0","568.40K","0.77%"
"21/02/2025","25,950.0","26,200.0","26,300.0","25,500.0","593.30K","1.76%"
"20/02/2025","25,500.0","25,149.5","25,500.0","24,799.0","1.70M","1.57%"
"19/02/2025","25,105.7","25,587.6","25,806.7","24,974.2","1.93M","-2.55%"
"18/02/2025","25,762.9","25,850.5","26,113.4","25,631.4","764.70K","-0.34%"
"17/02/2025","25,850.5","26,463.9","26,463.9","25,762.9","1.34M","-2.32%"
"14/02/2025","26,463.9","26,726.8","26,858.2","26,463.9","878.14K","-12.66%"
"13/02/2025","30,300.0","29,700.0","30,550.0","29,350.0","1.22M","2.02%"
"12/02/2025","29,700.0","29,600.0","29,950.0","29,400.0","630.30K","0.34%"
"11/02/2025","29,600.0","28,350.0","30,050.0","28,250.0","1.67M","3.86%"
"10/02/2025","28,500.0","29,100.0","29,350.0","28,500.0","748.50K","-2.06%"
"07/02/2025","29,100.0","29,400.0","29,400.0","28,600.0","881.80K","-0.68%"
"06/02/2025","29,300.0","29,300.0","29,350.0","28,950.0","522.00K","0.34%"
"05/02/2025","29,200.0","28,100.0","29,250.0","27,950.0","2.28M","4.47%"
"04/02/2025","27,950.0","27,300.0","28,200.0","27,300.0","922.10K","1.64%"
"03/02/2025","27,500.0","27,350.0","27,550.0","27,000.0","739.40K","-1.26%"
"24/01/2025","27,850.0","27,850.0","27,850.0","27,500.0","418.90K","0.00%"
"23/01/2025","27,850.0","27,800.0","28,200.0","27,650.0","609.20K","0.54%"
"22/01/2025","27,700.0","27,500.0","27,800.0","27,100.0","678.60K","0.00%"
"21/01/2025","27,700.0","27,850.0","27,900.0","27,250.0","452.70K","-0.54%"
"20/01/2025","27,850.0","28,300.0","28,300.0","27,800.0","372.60K","0.00%"
"17/01/2025","27,850.0","26,050.0","27,850.0","25,800.0","1.80M","6.91%"
"16/01/2025","26,050.0","26,300.0","26,400.0","26,050.0","191.00K","-0.95%"
"15/01/2025","26,300.0","26,250.0","26,300.0","25,800.0","530.90K","0.77%"
"14/01/2025","26,100.0","26,100.0","26,400.0","25,750.0","129.30K","0.00%"
"13/01/2025","26,100.0","26,000.0","26,200.0","25,700.0","201.10K","0.38%"
"10/01/2025","26,000.0","26,650.0","26,650.0","26,000.0","209.20K","-2.26%"
"09/01/2025","26,600.0","26,600.0","26,750.0","26,400.0","111.00K","0.00%"
"08/01/2025","26,600.0","26,200.0","26,650.0","25,900.0","267.30K","0.57%"
"07/01/2025","26,450.0","26,200.0","26,700.0","26,100.0","228.80K","0.95%"
"06/01/2025","26,200.0","26,850.0","27,000.0","26,200.0","257.60K","-2.42%"
"03/01/2025","26,850.0","27,300.0","27,300.0","26,400.0","539.50K","-1.65%"
"02/01/2025","27,300.0","27,100.0","27,300.0","26,600.0","175.00K","1.49%"
"31/12/2024","26,900.0","28,000.0","28,000.0","26,850.0","255.70K","-0.19%"
