"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/01/2015","11,947.7","11,997.7","12,047.7","11,897.7","835.22K","-0.42%"
"06/01/2015","12,022.7","11,872.7","12,022.7","11,822.7","1.11M","0.63%"
"07/01/2015","12,097.7","12,022.7","12,272.6","12,022.7","1.24M","0.62%"
"08/01/2015","11,972.7","12,072.7","12,097.7","11,947.7","694.00K","-1.03%"
"09/01/2015","12,072.7","11,972.7","12,122.7","11,972.7","977.68K","0.84%"
"12/01/2015","12,147.6","12,072.7","12,297.6","12,072.7","2.07M","0.62%"
"13/01/2015","12,172.6","12,097.7","12,197.6","12,097.7","739.07K","0.21%"
"14/01/2015","12,147.6","12,172.6","12,222.6","12,047.7","1.29M","-0.21%"
"15/01/2015","12,172.6","12,197.6","12,197.6","12,097.7","860.74K","0.21%"
"16/01/2015","12,122.7","12,197.6","12,197.6","12,097.7","532.30K","-0.41%"
"19/01/2015","11,997.7","12,122.7","12,122.7","11,997.7","1.12M","-1.03%"
"20/01/2015","11,997.7","11,997.7","12,047.7","11,972.7","1.05M","0.00%"
"21/01/2015","12,097.7","12,047.7","12,197.6","12,047.7","1.85M","0.83%"
"22/01/2015","12,047.7","12,147.6","12,147.6","12,047.7","913.53K","-0.41%"
"23/01/2015","12,097.7","12,097.7","12,172.6","12,047.7","1.18M","0.42%"
"26/01/2015","12,097.7","12,097.7","12,172.6","12,097.7","1.17M","0.00%"
"27/01/2015","11,997.7","12,072.7","12,147.6","11,997.7","1.30M","-0.83%"
"28/01/2015","11,972.7","11,972.7","12,072.7","11,947.7","795.89K","-0.21%"
"29/01/2015","11,972.7","11,972.7","11,997.7","11,947.7","685.33K","0.00%"
"30/01/2015","11,872.7","11,997.7","12,022.7","11,872.7","1.79M","-0.84%"
"02/02/2015","11,847.7","11,897.7","11,947.7","11,822.7","669.91K","-0.21%"
"03/02/2015","11,747.7","11,847.7","11,872.7","11,747.7","632.54K","-0.84%"
"04/02/2015","11,722.7","11,847.7","11,847.7","11,672.7","937.47K","-0.21%"
"05/02/2015","11,797.7","11,747.7","11,872.7","11,722.7","558.71K","0.64%"
"06/02/2015","11,822.7","11,872.7","11,872.7","11,797.7","349.23K","0.21%"
"09/02/2015","11,797.7","11,922.7","11,922.7","11,797.7","444.37K","-0.21%"
"10/02/2015","11,772.7","11,797.7","11,822.7","11,747.7","437.56K","-0.21%"
"11/02/2015","11,872.7","11,822.7","11,872.7","11,797.7","425.62K","0.85%"
"12/02/2015","11,947.7","11,972.7","12,047.7","11,947.7","1.33M","0.63%"
"13/02/2015","11,997.7","11,997.7","12,047.7","11,947.7","607.08K","0.42%"
"24/02/2015","12,147.6","12,047.7","12,197.6","12,047.7","1.07M","1.25%"
"25/02/2015","12,122.7","12,197.6","12,247.6","12,097.7","1.59M","-0.20%"
"26/02/2015","12,247.6","12,097.7","12,247.6","12,097.7","844.83K","1.03%"
"27/02/2015","12,197.6","12,272.6","12,322.6","12,172.6","961.59K","-0.41%"
"02/03/2015","12,122.7","12,247.6","12,247.6","12,097.7","1.44M","-0.61%"
"03/03/2015","12,222.6","12,197.6","12,222.6","12,147.6","655.04K","0.82%"
"04/03/2015","12,497.6","12,297.6","12,622.6","12,297.6","3.03M","2.25%"
"05/03/2015","12,497.6","12,622.6","12,747.5","12,497.6","1.20M","0.00%"
"06/03/2015","12,497.6","12,497.6","12,622.6","12,472.6","1.02M","0.00%"
"09/03/2015","12,297.6","12,472.6","12,497.6","12,297.6","1.27M","-1.60%"
"10/03/2015","12,422.6","12,372.6","12,422.6","12,322.6","1.00M","1.02%"
"11/03/2015","12,372.6","12,422.6","12,422.6","12,347.6","895.06K","-0.40%"
"12/03/2015","12,297.6","12,372.6","12,372.6","12,272.6","1.12M","-0.61%"
"13/03/2015","12,297.6","12,372.6","12,422.6","12,272.6","868.50K","0.00%"
"16/03/2015","12,347.6","12,297.6","12,347.6","12,297.6","654.89K","0.41%"
"17/03/2015","12,497.6","12,372.6","12,622.6","12,372.6","2.19M","1.21%"
"18/03/2015","12,397.6","12,497.6","12,497.6","12,397.6","697.45K","-0.80%"
"19/03/2015","12,372.6","12,472.6","12,497.6","12,372.6","770.73K","-0.20%"
"20/03/2015","12,447.6","12,372.6","12,472.6","12,347.6","868.16K","0.61%"
"23/03/2015","12,347.6","12,447.6","12,472.6","12,347.6","839.31K","-0.80%"
"24/03/2015","12,272.6","12,372.6","12,372.6","12,197.6","1.07M","-0.61%"
"25/03/2015","12,297.6","12,372.6","12,372.6","12,247.6","675.10K","0.20%"
"26/03/2015","12,322.6","12,347.6","12,347.6","12,297.6","842.91K","0.20%"
"27/03/2015","12,297.6","12,397.6","12,397.6","12,297.6","692.72K","-0.20%"
"30/03/2015","12,097.7","12,347.6","12,347.6","12,097.7","1.26M","-1.63%"
"31/03/2015","12,097.7","12,097.7","12,172.6","12,097.7","712.20K","0.00%"
"01/04/2015","11,922.7","12,172.6","12,172.6","11,922.7","827.15K","-1.45%"
