"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","34,750.00","34,750.00","35,150.00","34,500.00","4.47M","-0.57%"
"05/05/2025","34,950.00","34,200.00","35,000.00","34,100.00","2.58M","2.04%"
"29/04/2025","34,250.00","34,000.00","34,300.00","33,650.00","2.86M","0.29%"
"28/04/2025","34,150.00","34,600.00","34,600.00","33,850.00","3.43M","-1.87%"
"25/04/2025","34,800.00","35,200.00","35,200.00","34,350.00","3.09M","-0.85%"
"24/04/2025","35,100.00","35,050.00","35,400.00","34,500.00","3.35M","0.43%"
"23/04/2025","34,950.00","32,800.00","34,950.00","32,800.00","8.75M","6.88%"
"22/04/2025","32,700.00","32,950.00","32,950.00","31,250.00","5.49M","-0.15%"
"21/04/2025","32,750.00","32,450.00","33,000.00","32,450.00","2.33M","0.31%"
"18/04/2025","32,650.00","31,750.00","32,750.00","31,750.00","4.50M","2.19%"
"17/04/2025","31,950.00","31,650.00","31,950.00","31,000.00","3.41M","1.43%"
"16/04/2025","31,500.00","31,250.00","32,000.00","31,200.00","2.33M","0.00%"
"15/04/2025","31,500.00","31,500.00","32,050.00","30,950.00","5.09M","-0.79%"
"14/04/2025","31,750.00","30,900.00","31,750.00","30,650.00","3.66M","1.44%"
"11/04/2025","31,300.00","31,300.00","31,300.00","29,900.00","6.15M","3.99%"
"10/04/2025","30,100.00","30,100.00","30,100.00","30,100.00","743.00K","6.93%"
"09/04/2025","28,150.00","26,000.00","28,800.00","26,000.00","5.41M","0.72%"
"08/04/2025","27,950.00","29,450.00","29,450.00","27,950.00","5.38M","-6.99%"
"04/04/2025","30,050.00","27,750.00","30,050.00","27,750.00","9.04M","0.84%"
"03/04/2025","29,800.00","31,100.00","31,200.00","29,800.00","3.61M","-6.88%"
"02/04/2025","32,000.00","31,500.00","32,050.00","31,500.00","4.83M","0.31%"
"01/04/2025","31,900.00","31,400.00","31,900.00","31,250.00","3.89M","0.31%"
"31/03/2025","31,800.00","32,650.00","32,800.00","31,300.00","5.83M","-3.05%"
"28/03/2025","32,800.00","33,200.00","33,200.00","32,600.00","2.30M","-0.91%"
"27/03/2025","33,100.00","33,000.00","33,400.00","32,800.00","3.23M","-0.15%"
"26/03/2025","33,150.00","33,250.00","33,400.00","32,850.00","2.77M","-0.60%"
"25/03/2025","33,350.00","33,000.00","33,450.00","32,950.00","4.06M","1.06%"
"24/03/2025","33,000.00","32,950.00","33,000.00","32,550.00","3.33M","0.46%"
"21/03/2025","32,850.00","32,800.00","33,150.00","32,550.00","3.06M","-0.45%"
"20/03/2025","33,000.00","33,000.00","33,200.00","32,400.00","5.09M","-0.15%"
"19/03/2025","33,050.00","33,450.00","33,450.00","32,800.00","2.32M","-0.90%"
"18/03/2025","33,350.00","33,000.00","33,800.00","32,950.00","3.33M","0.76%"
"17/03/2025","33,100.00","33,250.00","33,300.00","32,750.00","1.54M","-0.30%"
"14/03/2025","33,200.00","32,650.00","33,250.00","32,400.00","5.03M","0.61%"
"13/03/2025","33,000.00","34,000.00","34,200.00","32,850.00","4.95M","-2.80%"
"12/03/2025","33,950.00","34,000.00","34,200.00","33,650.00","3.65M","-0.15%"
"11/03/2025","34,000.00","33,600.00","34,100.00","33,200.00","3.31M","0.15%"
"10/03/2025","33,950.00","34,700.00","34,750.00","33,900.00","3.16M","-2.02%"
"07/03/2025","34,650.00","34,250.00","34,650.00","33,850.00","3.30M","1.17%"
"06/03/2025","34,250.00","33,650.00","34,250.00","33,650.00","3.29M","1.18%"
"05/03/2025","33,850.00","34,300.00","34,350.00","33,800.00","2.52M","-1.02%"
"04/03/2025","34,200.00","33,100.00","34,200.00","32,600.00","4.34M","3.32%"
"03/03/2025","33,100.00","33,150.00","33,600.00","32,600.00","2.94M","0.00%"
"28/02/2025","33,100.00","33,400.00","33,500.00","32,850.00","2.06M","-0.60%"
"27/02/2025","33,300.00","31,750.00","33,300.00","31,400.00","5.50M","5.38%"
"26/02/2025","31,600.00","32,100.00","32,100.00","31,600.00","4.79M","-1.10%"
"25/02/2025","31,950.00","32,400.00","32,500.00","31,700.00","3.16M","-0.47%"
"24/02/2025","32,100.00","31,300.00","32,100.00","31,250.00","3.37M","2.39%"
"21/02/2025","31,350.00","30,700.00","31,450.00","30,500.00","3.92M","1.95%"
"20/02/2025","30,750.00","30,750.00","30,800.00","30,050.00","3.50M","0.82%"
"19/02/2025","30,500.00","29,800.00","30,500.00","29,650.00","4.07M","2.18%"
"18/02/2025","29,850.00","29,900.00","30,100.00","29,650.00","2.10M","-0.17%"
"17/02/2025","29,900.00","29,250.00","30,450.00","29,250.00","6.88M","2.40%"
"14/02/2025","29,200.00","28,900.00","29,450.00","28,700.00","4.18M","1.04%"
"13/02/2025","28,900.00","28,900.00","29,100.00","28,700.00","2.85M","-0.34%"
"12/02/2025","29,000.00","29,250.00","29,250.00","28,850.00","2.88M","-0.68%"
"11/02/2025","29,200.00","27,900.00","29,350.00","27,900.00","6.72M","4.85%"
"10/02/2025","27,850.00","27,750.00","27,950.00","27,250.00","2.57M","-0.18%"
"07/02/2025","27,900.00","27,900.00","28,050.00","27,750.00","1.37M","-0.18%"
"06/02/2025","27,950.00","28,100.00","28,100.00","27,700.00","2.00M","-0.36%"
"05/02/2025","28,050.00","28,250.00","28,300.00","27,800.00","2.24M","-0.36%"
"04/02/2025","28,150.00","28,050.00","28,550.00","27,800.00","4.60M","0.18%"
"03/02/2025","28,100.00","27,500.00","28,200.00","27,350.00","3.83M","1.63%"
"24/01/2025","27,650.00","27,350.00","27,700.00","27,200.00","3.19M","0.91%"
"23/01/2025","27,400.00","26,900.00","27,500.00","26,800.00","3.47M","1.48%"
"22/01/2025","27,000.00","26,800.00","27,050.00","26,750.00","2.09M","0.19%"
"21/01/2025","26,950.00","26,900.00","27,150.00","26,700.00","2.32M","-0.37%"
"20/01/2025","27,050.00","27,150.00","27,350.00","26,800.00","1.64M","-0.73%"
"17/01/2025","27,250.00","27,250.00","27,250.00","26,950.00","2.09M","0.00%"
"16/01/2025","27,250.00","26,550.00","27,500.00","26,400.00","4.97M","2.64%"
"15/01/2025","26,550.00","26,650.00","26,650.00","26,250.00","1.00M","0.19%"
"14/01/2025","26,500.00","26,500.00","26,500.00","26,200.00","1.00M","0.00%"
"13/01/2025","26,500.00","26,500.00","26,650.00","26,100.00","1.83M","-0.93%"
"10/01/2025","26,750.00","26,750.00","26,850.00","26,400.00","3.22M","-0.19%"
"09/01/2025","26,800.00","27,050.00","27,100.00","26,700.00","2.07M","-0.56%"
"08/01/2025","26,950.00","26,850.00","27,000.00","26,650.00","1.96M","-0.19%"
"07/01/2025","27,000.00","27,000.00","27,400.00","26,800.00","3.36M","-0.18%"
"06/01/2025","27,050.00","26,900.00","27,150.00","26,400.00","4.04M","0.19%"
"03/01/2025","27,000.00","27,800.00","27,850.00","26,750.00","6.21M","-3.23%"
"02/01/2025","27,900.00","28,100.00","28,200.00","27,750.00","2.51M","-0.71%"
"31/12/2024","28,100.00","28,050.00","28,400.00","27,600.00","6.09M","-0.53%"
"30/12/2024","28,250.00","28,500.00","28,500.00","28,000.00","4.59M","-0.70%"
"27/12/2024","28,450.00","26,700.00","28,550.00","26,700.00","8.43M","6.16%"
"26/12/2024","26,800.00","26,400.00","26,800.00","26,100.00","4.27M","0.75%"
"25/12/2024","26,600.00","26,800.00","26,950.00","26,450.00","4.13M","-0.37%"
"24/12/2024","26,700.00","27,000.00","27,100.00","26,550.00","1.90M","-0.37%"
"23/12/2024","26,800.00","26,200.00","27,000.00","26,200.00","3.72M","1.90%"
"20/12/2024","26,300.00","26,550.00","26,600.00","26,000.00","2.44M","-0.38%"
"19/12/2024","26,400.00","26,700.00","26,700.00","26,200.00","2.71M","-1.31%"
"18/12/2024","26,750.00","25,400.00","26,800.00","25,250.00","6.32M","5.11%"
"17/12/2024","25,450.00","25,050.00","25,500.00","24,900.00","3.04M","1.39%"
"16/12/2024","25,100.00","25,100.00","25,250.00","25,000.00","1.51M","-0.40%"
"13/12/2024","25,200.00","25,200.00","25,400.00","25,000.00","1.77M","0.00%"
"12/12/2024","25,200.00","25,350.00","25,400.00","25,150.00","1.65M","-0.20%"
"11/12/2024","25,250.00","25,000.00","25,400.00","25,000.00","2.99M","0.60%"
"10/12/2024","25,100.00","25,300.00","25,300.00","24,850.00","2.76M","0.00%"
"09/12/2024","25,100.00","25,400.00","25,400.00","24,950.00","2.14M","-0.79%"
"06/12/2024","25,300.00","25,550.00","25,650.00","25,150.00","2.82M","-0.39%"
"05/12/2024","25,400.00","24,700.00","25,400.00","24,700.00","5.43M","2.42%"
"04/12/2024","24,800.00","24,850.00","25,000.00","24,700.00","2.47M","0.20%"
"03/12/2024","24,750.00","25,000.00","25,000.00","24,600.00","3.03M","-0.40%"
"02/12/2024","24,850.00","24,850.00","25,000.00","24,700.00","1.59M","0.00%"
"29/11/2024","24,850.00","24,900.00","25,150.00","24,650.00","3.23M","-0.60%"
"28/11/2024","25,000.00","24,350.00","25,000.00","24,150.00","3.70M","2.04%"
"27/11/2024","24,500.00","24,500.00","25,000.00","24,350.00","3.79M","0.00%"
"26/11/2024","24,500.00","24,350.00","24,500.00","24,200.00","4.29M","0.41%"
"25/11/2024","24,400.00","24,450.00","24,500.00","24,050.00","3.79M","0.00%"
"22/11/2024","24,400.00","24,200.00","24,550.00","24,200.00","3.25M","-0.20%"
