"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","27,550","28,100","28,250","27,550","5.60M","-1.96%"
"05/05/2025","28,100","27,750","28,100","27,400","5.34M","2.37%"
"29/04/2025","27,450","27,250","27,850","27,200","4.76M","0.92%"
"28/04/2025","27,200","27,000","27,450","27,000","2.86M","0.00%"
"25/04/2025","27,200","28,150","28,150","27,200","7.41M","-2.68%"
"24/04/2025","27,950","28,200","28,250","27,400","6.53M","-0.71%"
"23/04/2025","28,150","27,750","28,600","27,500","8.98M","4.07%"
"22/04/2025","27,050","27,300","28,000","25,500","16.32M","-0.73%"
"21/04/2025","27,250","27,450","27,450","26,800","5.43M","1.68%"
"18/04/2025","26,800","26,500","27,300","26,250","7.97M","2.29%"
"17/04/2025","26,200","25,700","26,200","25,550","3.75M","0.96%"
"16/04/2025","25,950","26,200","26,300","25,500","4.74M","0.19%"
"15/04/2025","25,900","26,100","26,150","25,450","5.94M","-1.71%"
"14/04/2025","26,350","25,300","26,650","25,000","10.03M","5.19%"
"11/04/2025","25,050","25,050","25,050","23,900","13.18M","6.82%"
"10/04/2025","23,450","23,450","23,450","23,450","706.30K","6.83%"
"09/04/2025","21,950","21,950","22,950","21,950","17.18M","-6.99%"
"08/04/2025","23,600","25,300","25,500","23,600","8.56M","-6.90%"
"04/04/2025","25,350","25,350","25,800","25,350","16.62M","-6.97%"
"03/04/2025","27,250","27,800","28,200","27,250","11.58M","-7.00%"
"02/04/2025","29,300","29,650","29,800","29,300","5.59M","-1.18%"
"01/04/2025","29,650","29,800","29,900","29,200","8.79M","-0.34%"
"31/03/2025","29,750","29,900","30,500","29,300","9.20M","-0.17%"
"28/03/2025","29,800","29,800","29,950","29,400","4.29M","0.68%"
"27/03/2025","29,600","29,300","29,900","29,150","6.31M","0.68%"
"26/03/2025","29,400","29,900","29,900","29,250","5.52M","-1.67%"
"25/03/2025","29,900","30,300","30,300","29,750","5.64M","-0.33%"
"24/03/2025","30,000","29,350","30,000","29,200","10.01M","4.35%"
"21/03/2025","28,750","29,400","29,400","28,750","4.87M","-2.21%"
"20/03/2025","29,400","29,700","29,700","28,750","7.18M","-0.51%"
"19/03/2025","29,550","29,450","29,550","29,300","3.39M","0.51%"
"18/03/2025","29,400","29,400","29,800","29,300","4.91M","0.00%"
"17/03/2025","29,400","29,450","29,750","29,300","4.31M","0.17%"
"14/03/2025","29,350","30,400","30,400","29,250","15.23M","-3.29%"
"13/03/2025","30,350","30,800","31,450","30,200","13.82M","0.66%"
"12/03/2025","30,150","30,750","30,850","30,150","9.42M","-2.11%"
"11/03/2025","30,800","29,800","30,800","29,800","8.50M","2.16%"
"10/03/2025","30,150","30,700","30,700","30,100","10.65M","-1.63%"
"07/03/2025","30,650","31,100","31,200","30,600","7.45M","-1.13%"
"06/03/2025","31,000","30,800","31,000","30,600","7.66M","1.81%"
"05/03/2025","30,450","30,700","30,900","30,200","6.22M","-0.16%"
