"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"25/04/2025","6,000","6,000","6,100","5,800","364.33K","0.00%"
"18/04/2025","6,000","6,000","6,200","5,800","504.89K","0.00%"
"11/04/2025","6,000","6,300","6,500","5,900","529.65K","0.00%"
"04/04/2025","6,000","6,200","6,200","5,900","997.48K","-13.04%"
"28/03/2025","6,900","7,000","7,300","6,100","240.27K","-1.43%"
"21/03/2025","7,000","7,300","7,400","7,000","285.50K","-5.41%"
"14/03/2025","7,400","7,600","7,700","7,200","334.52K","-3.90%"
"07/03/2025","7,700","7,800","7,800","7,400","532.51K","0.00%"
"28/02/2025","7,700","8,000","8,100","7,700","424.91K","-3.75%"
"21/02/2025","8,000","7,700","8,100","7,700","523.08K","3.90%"
"14/02/2025","7,700","7,600","7,800","7,500","265.51K","1.32%"
"07/02/2025","7,600","7,000","7,800","7,000","259.02K","5.56%"
"24/01/2025","7,200","6,000","7,300","6,000","282.09K","0.00%"
"17/01/2025","7,200","7,300","7,500","6,300","433.26K","0.00%"
"10/01/2025","7,200","7,500","7,600","7,200","422.75K","-4.00%"
"03/01/2025","7,500","7,600","7,700","7,400","240.62K","-1.32%"
"27/12/2024","7,600","7,500","7,700","7,500","552.59K","1.33%"
"20/12/2024","7,500","7,700","7,800","7,400","645.07K","-2.60%"
"13/12/2024","7,700","7,800","8,000","7,700","346.54K","-2.53%"
"06/12/2024","7,900","7,800","8,000","7,800","250.05K","1.28%"
"29/11/2024","7,800","7,800","7,900","7,700","312.68K","1.30%"
"22/11/2024","7,700","7,700","8,100","7,600","352.82K","0.00%"
"15/11/2024","7,700","8,000","8,200","7,600","399.65K","-3.75%"
"08/11/2024","8,000","7,600","8,200","7,600","690.57K","2.56%"
"01/11/2024","7,800","7,400","8,100","7,400","1.32M","4.00%"
"25/10/2024","7,500","7,800","8,000","7,200","855.40K","-8.54%"
"23/10/2024","8,200","8,100","8,300","7,400","864.64K","1.23%"
"22/10/2024","8,100","9,200","9,200","8,100","4.31M","-13.83%"
"21/10/2024","9,400","9,800","9,800","9,200","1.09M","-3.09%"
"18/10/2024","9,700","9,500","9,800","9,400","971.02K","2.11%"
"17/10/2024","9,500","9,600","9,600","9,200","665.45K","0.00%"
"16/10/2024","9,500","10,000","10,000","9,400","763.35K","-4.04%"
"15/10/2024","9,900","9,400","10,100","9,400","1.23M","5.32%"
"14/10/2024","9,400","9,100","9,900","9,000","1.75M","1.08%"
"11/10/2024","9,300","9,900","10,300","9,000","2.64M","-6.06%"
"10/10/2024","9,900","11,500","11,500","9,900","3.60M","-13.91%"
"09/10/2024","11,500","12,200","12,200","11,300","1.06M","-4.96%"
"08/10/2024","12,100","13,500","13,500","11,800","1.58M","-11.03%"
"07/10/2024","13,600","13,800","14,000","13,300","560.63K","-2.86%"
"04/10/2024","14,000","14,200","14,200","13,900","176.68K","0.00%"
"03/10/2024","14,000","14,000","14,400","13,800","583.99K","0.00%"
"02/10/2024","14,000","13,900","14,100","13,800","237.20K","0.72%"
"01/10/2024","13,900","13,800","14,000","13,800","265.66K","0.72%"
"30/09/2024","13,800","13,700","13,800","13,700","160.10K","0.73%"
"27/09/2024","13,700","14,000","14,100","13,700","283.35K","-1.44%"
"26/09/2024","13,900","14,000","14,000","13,600","407.19K","2.21%"
"25/09/2024","13,600","13,500","13,700","13,200","512.08K","0.74%"
"24/09/2024","13,500","13,700","13,900","13,300","1.05M","-2.88%"
"23/09/2024","13,900","14,100","14,100","13,700","514.16K","-1.42%"
"20/09/2024","14,100","14,400","14,500","13,900","1.25M","-2.08%"
"19/09/2024","14,400","14,600","14,700","14,300","450.70K","-1.37%"
"18/09/2024","14,600","14,700","14,900","14,500","433.83K","-0.68%"
"17/09/2024","14,700","14,900","14,900","14,300","462.31K","0.00%"
"16/09/2024","14,700","15,500","15,600","14,500","773.14K","-4.55%"
"13/09/2024","15,400","15,700","15,700","15,200","353.41K","-0.65%"
"12/09/2024","15,500","15,600","15,800","15,500","317.70K","0.00%"
"11/09/2024","15,500","15,900","15,900","15,200","446.88K","-1.27%"
"10/09/2024","15,700","15,000","16,500","15,000","1.34M","5.37%"
"09/09/2024","14,900","15,400","15,400","14,800","340.12K","-1.97%"
