"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","23,050.0","23,100.0","23,800.0","23,050.0","887.90K","0.22%"
"05/05/2025","23,000.0","23,200.0","23,200.0","22,750.0","424.40K","0.66%"
"29/04/2025","22,850.0","22,850.0","23,050.0","22,750.0","333.40K","0.00%"
"28/04/2025","22,850.0","23,350.0","23,350.0","22,850.0","324.40K","0.00%"
"25/04/2025","22,850.0","22,900.0","23,050.0","22,600.0","402.90K","0.44%"
"24/04/2025","22,750.0","22,600.0","23,200.0","22,400.0","672.00K","1.79%"
"23/04/2025","22,350.0","22,900.0","22,900.0","21,000.0","810.30K","-0.67%"
"22/04/2025","22,500.0","23,100.0","23,100.0","21,600.0","1.59M","-3.02%"
"21/04/2025","23,200.0","23,450.0","23,450.0","22,850.0","847.70K","-0.85%"
"18/04/2025","23,400.0","23,550.0","23,600.0","23,100.0","1.11M","-0.21%"
"17/04/2025","23,450.0","23,100.0","23,450.0","22,750.0","791.30K","1.52%"
"16/04/2025","23,100.0","23,000.0","23,600.0","22,850.0","1.53M","0.22%"
"15/04/2025","23,050.0","22,650.0","23,600.0","22,400.0","1.78M","1.10%"
"14/04/2025","22,800.0","23,450.0","23,450.0","22,650.0","1.31M","-0.87%"
"11/04/2025","23,000.0","22,600.0","23,500.0","22,100.0","2.57M","4.55%"
"10/04/2025","22,000.0","22,000.0","22,000.0","21,950.0","607.60K","6.80%"
"09/04/2025","20,600.0","20,400.0","21,900.0","20,400.0","3.56M","-5.94%"
"08/04/2025","21,900.0","22,000.0","22,500.0","21,900.0","2.07M","-6.81%"
"04/04/2025","23,500.0","23,500.0","23,650.0","23,500.0","4.46M","-6.93%"
"03/04/2025","25,250.0","25,950.0","26,200.0","25,250.0","2.93M","-6.83%"
"02/04/2025","27,100.0","26,800.0","27,600.0","26,800.0","1.27M","1.12%"
"01/04/2025","26,800.0","26,800.0","26,950.0","26,650.0","289.50K","0.00%"
"31/03/2025","26,800.0","26,750.0","26,850.0","26,350.0","673.10K","0.00%"
"28/03/2025","26,800.0","26,800.0","27,200.0","26,500.0","961.50K","0.00%"
"27/03/2025","26,800.0","27,050.0","27,050.0","26,800.0","229.80K","-0.37%"
"26/03/2025","26,900.0","27,000.0","27,050.0","26,800.0","575.00K","-0.55%"
"25/03/2025","27,050.0","27,300.0","27,300.0","26,800.0","759.30K","-0.18%"
"24/03/2025","27,100.0","26,950.0","27,100.0","26,600.0","474.90K","0.56%"
"21/03/2025","26,950.0","27,000.0","27,350.0","26,800.0","979.50K","0.19%"
"20/03/2025","26,900.0","26,900.0","27,000.0","26,550.0","589.50K","0.19%"
"19/03/2025","26,850.0","26,650.0","26,900.0","26,500.0","865.30K","0.56%"
"18/03/2025","26,700.0","26,550.0","26,950.0","26,550.0","788.40K","0.95%"
"17/03/2025","26,450.0","26,800.0","26,800.0","26,400.0","814.30K","-0.19%"
"14/03/2025","26,500.0","26,600.0","26,800.0","26,500.0","1.01M","-0.38%"
"13/03/2025","26,600.0","27,300.0","27,400.0","26,550.0","1.59M","-2.56%"
"12/03/2025","27,300.0","26,800.0","27,300.0","26,450.0","1.77M","1.87%"
"11/03/2025","26,800.0","27,100.0","27,400.0","26,200.0","4.53M","-3.07%"
"10/03/2025","27,650.0","28,150.0","28,250.0","27,650.0","1.41M","-1.78%"
"07/03/2025","28,150.0","28,400.0","28,900.0","28,150.0","1.66M","-0.71%"
"06/03/2025","28,350.0","28,050.0","28,400.0","28,000.0","1.12M","1.07%"
"05/03/2025","28,050.0","28,350.0","28,350.0","27,750.0","866.70K","-0.18%"
"04/03/2025","28,100.0","27,700.0","28,100.0","27,350.0","1.83M","1.26%"
"03/03/2025","27,750.0","28,250.0","28,250.0","27,500.0","1.83M","-1.77%"
"28/02/2025","28,250.0","28,450.0","29,200.0","28,000.0","1.40M","-0.53%"
"27/02/2025","28,400.0","28,200.0","28,400.0","27,900.0","961.20K","0.35%"
"26/02/2025","28,300.0","28,050.0","28,500.0","27,850.0","1.10M","0.71%"
"25/02/2025","28,100.0","28,200.0","28,450.0","27,600.0","1.31M","-0.18%"
"24/02/2025","28,150.0","28,200.0","28,300.0","27,750.0","1.20M","-0.18%"
"21/02/2025","28,200.0","27,950.0","28,200.0","27,800.0","859.80K","0.71%"
"20/02/2025","28,000.0","28,000.0","28,300.0","27,750.0","1.72M","0.00%"
"19/02/2025","28,000.0","27,250.0","28,300.0","27,250.0","3.25M","2.75%"
"18/02/2025","27,250.0","26,700.0","27,300.0","26,550.0","1.98M","1.49%"
"17/02/2025","26,850.0","27,050.0","27,150.0","26,700.0","1.66M","-0.74%"
"14/02/2025","27,050.0","27,750.0","27,750.0","27,050.0","1.39M","-1.64%"
"13/02/2025","27,500.0","26,500.0","27,500.0","26,450.0","1.90M","3.38%"
"12/02/2025","26,600.0","26,800.0","27,450.0","26,300.0","1.79M","-0.37%"
"11/02/2025","26,700.0","26,400.0","26,750.0","26,400.0","1.01M","0.95%"
"10/02/2025","26,450.0","26,550.0","26,750.0","26,250.0","1.81M","-1.31%"
"07/02/2025","26,800.0","26,600.0","27,450.0","26,400.0","2.09M","0.75%"
"06/02/2025","26,600.0","27,000.0","27,050.0","26,350.0","1.55M","-0.75%"
"05/02/2025","26,800.0","26,900.0","26,900.0","26,500.0","832.40K","0.00%"
"04/02/2025","26,800.0","25,550.0","27,250.0","25,550.0","4.99M","5.10%"
"03/02/2025","25,500.0","25,150.0","25,850.0","25,100.0","1.47M","1.59%"
"24/01/2025","25,100.0","25,300.0","25,700.0","25,100.0","1.12M","-0.59%"
"23/01/2025","25,250.0","24,950.0","25,450.0","24,900.0","1.06M","2.64%"
