Date,HAG_Price,Mở,Cao,Thấp,KL,% Thay đổi,SP500_Price,VNINDEX_Price,Agriculture_Industry_Index
2025-04-10,10450.0,"10,450.0","10,450.0","10,450.0",244.30K,6.52%,5456.9,1094.3,21371.922246220303
2025-04-10,10450.0,"10,450.0","10,450.0","10,450.0",244.30K,6.52%,5456.9,1094.3,21371.922246220303
2025-04-10,10450.0,"10,450.0","10,450.0","10,450.0",244.30K,6.52%,5456.9,1094.3,21371.922246220303
2025-04-10,10450.0,"10,450.0","10,450.0","10,450.0",244.30K,6.52%,5456.9,1094.3,21371.922246220303
2025-04-04,11000.0,"10,750.0","11,200.0","10,750.0",17.74M,-4.76%,5074.08,1210.67,21371.922246220303
2025-04-03,11550.0,"11,850.0","12,000.0","11,550.0",14.69M,-6.85%,5396.52,1229.84,22151.903347732183
2025-04-02,12400.0,"12,350.0","12,400.0","12,250.0",2.05M,0.81%,5670.97,1317.83,23766.54967602592
2025-04-01,12300.0,"12,250.0","12,350.0","12,200.0",2.47M,0.82%,5633.07,1317.33,23759.40874730021
2025-03-31,12200.0,"12,250.0","12,400.0","12,150.0",6.29M,-1.61%,5611.85,1306.86,23728.73920086393
2025-03-28,12400.0,"12,750.0","12,750.0","12,400.0",2.94M,-1.59%,5580.94,1317.46,24138.60691144708
2025-03-27,12600.0,"12,700.0","12,800.0","12,600.0",1.99M,-0.79%,5693.31,1323.81,24228.64470842332
2025-03-26,12700.0,"12,800.0","13,100.0","12,650.0",8.04M,0.00%,5712.2,1326.09,24232.950863930888
2025-03-25,12700.0,"12,500.0","12,850.0","12,450.0",8.66M,2.83%,5776.65,1331.92,24435.002699784018
2025-03-24,12350.0,"12,350.0","12,700.0","12,300.0",6.02M,0.00%,5767.57,1330.32,24271.598272138224
2025-03-21,12350.0,"12,350.0","12,500.0","12,300.0",3.42M,-0.40%,5667.56,1321.88,23902.45680345573
2025-03-20,12400.0,"12,450.0","12,550.0","12,200.0",4.44M,0.00%,5662.89,1323.93,24115.172786177107
2025-03-19,12400.0,"12,450.0","12,450.0","12,200.0",5.07M,-0.80%,5675.29,1324.63,24160.55615550756
2025-03-18,12500.0,"12,450.0","12,600.0","12,400.0",3.73M,0.40%,5614.66,1330.97,24216.59017278618
2025-03-17,12450.0,"12,500.0","12,550.0","12,300.0",3.05M,0.00%,5675.12,1336.26,24098.8120950324
2025-03-14,12450.0,"12,350.0","12,550.0","12,300.0",3.14M,0.81%,5638.94,1326.15,24146.55777537797
