"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","14,500.0","14,700.0","14,800.0","14,450.0","3.50M","-1.02%"
"05/05/2025","14,650.0","14,100.0","14,700.0","13,800.0","9.68M","6.16%"
"29/04/2025","13,800.0","13,700.0","13,900.0","13,550.0","4.51M","1.10%"
"28/04/2025","13,650.0","13,500.0","13,900.0","13,400.0","5.73M","2.25%"
"25/04/2025","13,350.0","13,900.0","13,900.0","13,350.0","5.22M","-1.11%"
"24/04/2025","13,500.0","13,600.0","13,900.0","13,350.0","5.65M","1.12%"
"23/04/2025","13,350.0","12,800.0","13,350.0","12,650.0","11.02M","6.80%"
"22/04/2025","12,500.0","13,300.0","13,300.0","12,400.0","13.08M","-6.02%"
"21/04/2025","13,300.0","13,700.0","13,800.0","13,300.0","4.72M","-2.92%"
"18/04/2025","13,700.0","13,600.0","13,900.0","13,550.0","5.26M","1.48%"
"17/04/2025","13,500.0","13,500.0","13,550.0","13,050.0","7.48M","-0.37%"
"16/04/2025","13,550.0","14,000.0","14,050.0","13,550.0","6.28M","-3.21%"
"15/04/2025","14,000.0","14,200.0","14,400.0","13,700.0","6.50M","-2.78%"
"14/04/2025","14,400.0","14,500.0","14,700.0","14,150.0","6.02M","-0.69%"
"11/04/2025","14,500.0","15,000.0","15,000.0","14,000.0","15.00M","2.47%"
"10/04/2025","14,150.0","14,150.0","14,150.0","14,150.0","1.68M","6.79%"
"09/04/2025","13,250.0","13,250.0","13,600.0","13,250.0","8.68M","-6.69%"
"08/04/2025","14,200.0","15,150.0","15,150.0","14,200.0","6.10M","-6.89%"
"04/04/2025","15,250.0","15,100.0","15,400.0","15,100.0","16.14M","-5.86%"
"03/04/2025","16,200.0","16,200.0","16,750.0","16,200.0","11.00M","-6.90%"
"02/04/2025","17,400.0","17,550.0","17,600.0","17,350.0","5.76M","1.75%"
"01/04/2025","17,100.0","16,905.7","17,245.7","16,759.9","3.61M","2.33%"
"31/03/2025","16,711.4","16,759.9","16,905.7","16,711.4","3.96M","-1.15%"
"28/03/2025","16,905.7","17,245.7","17,294.3","16,808.5","5.76M","-1.97%"
"27/03/2025","17,245.7","17,488.6","17,585.8","17,197.2","3.00M","-1.39%"
"26/03/2025","17,488.6","17,391.5","17,634.4","17,294.3","4.91M","-2.30%"
"25/03/2025","17,900.0","17,800.0","18,000.0","17,700.0","3.97M","0.85%"
"24/03/2025","17,750.0","17,900.0","17,900.0","17,500.0","3.93M","0.28%"
"21/03/2025","17,700.0","17,850.0","17,950.0","17,650.0","3.20M","-0.84%"
"20/03/2025","17,850.0","17,700.0","17,950.0","17,600.0","5.45M","0.85%"
"19/03/2025","17,700.0","18,150.0","18,300.0","17,700.0","10.95M","-3.28%"
"18/03/2025","18,300.0","19,050.0","19,200.0","18,300.0","11.53M","-2.92%"
"17/03/2025","18,850.0","18,800.0","19,050.0","18,650.0","5.42M","0.80%"
"14/03/2025","18,700.0","18,850.0","18,900.0","18,600.0","4.79M","-0.80%"
"13/03/2025","18,850.0","19,000.0","19,350.0","18,650.0","10.33M","-0.26%"
"12/03/2025","18,900.0","19,100.0","19,200.0","18,750.0","6.13M","-0.79%"
"11/03/2025","19,050.0","18,350.0","19,050.0","18,350.0","10.08M","1.87%"
"10/03/2025","18,700.0","18,850.0","18,900.0","18,600.0","5.04M","-0.53%"
"07/03/2025","18,800.0","18,950.0","19,000.0","18,700.0","5.99M","-0.79%"
"06/03/2025","18,950.0","18,500.0","18,950.0","18,300.0","7.75M","3.55%"
"05/03/2025","18,300.0","18,650.0","18,850.0","18,300.0","6.32M","-2.14%"
"04/03/2025","18,700.0","18,750.0","18,950.0","18,550.0","8.24M","-1.06%"
"03/03/2025","18,900.0","19,100.0","19,100.0","18,650.0","8.29M","-0.79%"
"28/02/2025","19,050.0","19,200.0","19,300.0","18,850.0","8.66M","-0.52%"
"27/02/2025","19,150.0","17,900.0","19,150.0","17,800.0","33.69M","6.98%"
"26/02/2025","17,900.0","18,000.0","18,150.0","17,900.0","8.75M","0.85%"
"25/02/2025","17,750.0","18,000.0","18,000.0","17,650.0","4.54M","-0.84%"
"24/02/2025","17,900.0","18,200.0","18,250.0","17,800.0","11.07M","1.99%"
"21/02/2025","17,550.0","17,500.0","17,600.0","17,350.0","3.36M","0.00%"
"20/02/2025","17,550.0","17,350.0","17,800.0","17,350.0","8.64M","1.45%"
"19/02/2025","17,300.0","17,250.0","17,300.0","17,100.0","3.27M","0.29%"
"18/02/2025","17,250.0","17,000.0","17,350.0","17,000.0","5.09M","1.47%"
"17/02/2025","17,000.0","17,000.0","17,050.0","16,900.0","2.34M","0.00%"
"14/02/2025","17,000.0","16,700.0","17,150.0","16,700.0","5.28M","2.10%"
"13/02/2025","16,650.0","16,900.0","16,900.0","16,650.0","2.05M","-0.30%"
"12/02/2025","16,700.0","16,950.0","16,950.0","16,600.0","2.57M","-0.30%"
"11/02/2025","16,750.0","16,700.0","17,000.0","16,600.0","8.57M","-0.89%"
"10/02/2025","16,900.0","17,550.0","17,600.0","16,900.0","13.20M","-4.52%"
"07/02/2025","17,700.0","17,800.0","17,900.0","17,700.0","2.80M","-0.28%"
"06/02/2025","17,750.0","17,950.0","18,000.0","17,700.0","3.27M","-0.84%"
"05/02/2025","17,900.0","17,900.0","18,050.0","17,850.0","4.16M","0.00%"
"04/02/2025","17,900.0","17,750.0","18,000.0","17,650.0","5.28M","1.70%"
"03/02/2025","17,600.0","17,400.0","17,800.0","17,350.0","4.58M","0.86%"
"24/01/2025","17,450.0","17,400.0","17,450.0","17,200.0","2.51M","0.29%"
"23/01/2025","17,400.0","17,050.0","17,400.0","17,050.0","1.83M","1.75%"
"22/01/2025","17,100.0","17,350.0","17,400.0","17,100.0","2.64M","-1.44%"
"21/01/2025","17,350.0","17,400.0","17,550.0","17,200.0","2.02M","-1.14%"
"20/01/2025","17,550.0","17,500.0","17,650.0","17,450.0","2.15M","0.29%"
"17/01/2025","17,500.0","17,300.0","17,500.0","17,250.0","2.72M","1.16%"
"16/01/2025","17,300.0","17,600.0","17,750.0","17,300.0","2.82M","-1.42%"
"15/01/2025","17,550.0","17,100.0","17,800.0","17,100.0","4.95M","2.63%"
"14/01/2025","17,100.0","17,300.0","17,450.0","17,100.0","1.46M","-1.72%"
"13/01/2025","17,400.0","17,150.0","17,400.0","17,050.0","2.60M","1.46%"
"10/01/2025","17,150.0","17,850.0","17,850.0","17,150.0","3.24M","-3.11%"
"09/01/2025","17,700.0","18,050.0","18,050.0","17,650.0","1.93M","-1.94%"
"08/01/2025","18,050.0","17,700.0","18,050.0","17,650.0","2.06M","1.40%"
"07/01/2025","17,800.0","17,800.0","17,900.0","17,500.0","3.81M","0.00%"
"06/01/2025","17,800.0","18,200.0","18,350.0","17,650.0","4.66M","-2.20%"
"03/01/2025","18,200.0","18,600.0","18,600.0","18,200.0","4.21M","-2.41%"
"02/01/2025","18,650.0","18,450.0","18,650.0","18,450.0","1.63M","1.08%"
"31/12/2024","18,450.0","18,700.0","18,700.0","18,450.0","3.22M","-1.34%"
"30/12/2024","18,700.0","18,800.0","18,800.0","18,550.0","2.08M","-0.53%"
"27/12/2024","18,800.0","18,900.0","18,950.0","18,700.0","3.93M","-0.79%"
"26/12/2024","18,950.0","18,950.0","18,950.0","18,750.0","2.36M","0.00%"
"25/12/2024","18,950.0","18,550.0","19,000.0","18,550.0","5.79M","1.61%"
"24/12/2024","18,650.0","18,650.0","18,650.0","18,300.0","4.35M","0.00%"
"23/12/2024","18,650.0","18,700.0","18,900.0","18,550.0","3.52M","-0.53%"
"20/12/2024","18,750.0","18,950.0","18,950.0","18,750.0","2.42M","-1.06%"
"19/12/2024","18,950.0","18,650.0","18,950.0","18,600.0","5.31M","0.00%"
"18/12/2024","18,950.0","18,400.0","18,950.0","18,400.0","5.54M","2.99%"
"17/12/2024","18,400.0","18,450.0","18,550.0","18,200.0","3.86M","-0.54%"
"16/12/2024","18,500.0","18,300.0","18,550.0","18,300.0","3.32M","0.54%"
"13/12/2024","18,400.0","18,750.0","18,750.0","18,400.0","4.20M","-1.87%"
"12/12/2024","18,750.0","18,800.0","18,950.0","18,750.0","3.54M","-0.53%"
"11/12/2024","18,850.0","19,000.0","19,150.0","18,800.0","3.81M","-0.79%"
"10/12/2024","19,000.0","18,950.0","19,250.0","18,950.0","7.31M","0.53%"
"09/12/2024","18,900.0","18,700.0","19,100.0","18,600.0","8.21M","1.34%"
"06/12/2024","18,650.0","18,800.0","18,950.0","18,600.0","3.98M","-0.80%"
"05/12/2024","18,800.0","18,250.0","19,000.0","17,550.0","13.89M","3.01%"
"04/12/2024","18,250.0","18,700.0","18,700.0","18,200.0","7.67M","-2.14%"
"03/12/2024","18,650.0","19,050.0","19,050.0","18,650.0","5.08M","-1.84%"
"02/12/2024","19,000.0","19,050.0","19,150.0","18,900.0","2.97M","0.00%"
"29/11/2024","19,000.0","19,000.0","19,050.0","18,850.0","4.21M","0.00%"
"28/11/2024","19,000.0","19,000.0","19,100.0","18,900.0","4.20M","0.53%"
"27/11/2024","18,900.0","19,050.0","19,050.0","18,750.0","3.32M","-0.53%"
"26/11/2024","19,000.0","18,750.0","19,050.0","18,750.0","4.07M","1.33%"
"25/11/2024","18,750.0","18,900.0","18,900.0","18,700.0","3.56M","-0.27%"
"22/11/2024","18,800.0","18,750.0","19,050.0","18,700.0","4.65M","0.00%"
"21/11/2024","18,800.0","18,800.0","18,800.0","18,500.0","3.13M","0.80%"
"20/11/2024","18,650.0","18,200.0","18,900.0","18,150.0","5.43M","1.63%"
"19/11/2024","18,350.0","18,600.0","18,800.0","18,350.0","3.87M","-1.08%"
"18/11/2024","18,550.0","18,400.0","18,700.0","18,200.0","5.87M","0.82%"
"15/11/2024","18,400.0","19,100.0","19,100.0","18,300.0","11.66M","-3.66%"
"14/11/2024","19,100.0","19,950.0","20,000.0","19,000.0","12.27M","-4.26%"
"13/11/2024","19,950.0","20,050.0","20,150.0","19,800.0","6.64M","-0.99%"
"12/11/2024","20,150.0","20,500.0","20,500.0","20,100.0","3.68M","-0.74%"
"11/11/2024","20,300.0","20,100.0","20,500.0","20,000.0","5.83M","0.50%"
"08/11/2024","20,200.0","20,300.0","20,500.0","20,150.0","5.63M","-0.49%"
"07/11/2024","20,300.0","20,500.0","20,600.0","20,250.0","3.29M","-0.25%"
"06/11/2024","20,350.0","20,100.0","20,400.0","20,100.0","3.65M","1.75%"
"05/11/2024","20,000.0","20,050.0","20,200.0","19,950.0","2.74M","0.25%"
"04/11/2024","19,950.0","20,050.0","20,300.0","19,900.0","4.77M","-1.24%"
"01/11/2024","20,200.0","20,200.0","20,250.0","19,900.0","8.91M","-0.25%"
"31/10/2024","20,250.0","20,300.0","20,400.0","20,200.0","5.82M","-0.49%"
"30/10/2024","20,350.0","20,700.0","20,750.0","20,300.0","5.43M","-1.69%"
"29/10/2024","20,700.0","20,900.0","20,900.0","20,600.0","5.10M","-0.24%"
"28/10/2024","20,750.0","20,650.0","20,900.0","20,500.0","6.51M","2.22%"
"25/10/2024","20,300.0","20,500.0","20,700.0","20,300.0","5.67M","-0.98%"
"24/10/2024","20,500.0","20,450.0","20,700.0","20,250.0","9.57M","0.99%"
"23/10/2024","20,300.0","20,250.0","20,500.0","20,200.0","4.67M","0.25%"
"22/10/2024","20,250.0","20,300.0","20,600.0","20,100.0","6.64M","-0.74%"
"21/10/2024","20,400.0","20,500.0","20,750.0","20,400.0","5.78M","-0.97%"
"18/10/2024","20,600.0","20,900.0","20,950.0","20,600.0","5.19M","-0.96%"
"17/10/2024","20,800.0","20,500.0","20,800.0","20,250.0","7.68M","1.46%"
"16/10/2024","20,500.0","20,800.0","20,950.0","20,500.0","5.28M","-1.44%"
"15/10/2024","20,800.0","21,050.0","21,100.0","20,750.0","8.58M","-0.48%"
"14/10/2024","20,900.0","21,050.0","21,200.0","20,900.0","5.12M","-0.48%"
"11/10/2024","21,000.0","21,000.0","21,100.0","20,850.0","5.82M","0.48%"
"10/10/2024","20,900.0","21,400.0","21,550.0","20,900.0","11.53M","-1.88%"
"09/10/2024","21,300.0","21,450.0","21,600.0","21,250.0","11.71M","-0.23%"
"08/10/2024","21,350.0","21,000.0","21,600.0","20,850.0","16.14M","1.43%"
"07/10/2024","21,050.0","21,300.0","21,350.0","20,950.0","6.57M","0.00%"
"04/10/2024","21,050.0","20,900.0","21,250.0","20,750.0","10.81M","1.20%"
"03/10/2024","20,800.0","21,400.0","21,500.0","20,750.0","21.26M","-2.35%"
"02/10/2024","21,300.0","21,250.0","21,600.0","21,150.0","14.42M","0.00%"
"01/10/2024","21,300.0","21,600.0","22,000.0","21,300.0","20.60M","0.00%"
"30/09/2024","21,300.0","21,200.0","21,500.0","21,100.0","12.82M","1.67%"
"27/09/2024","20,950.0","20,850.0","21,300.0","20,800.0","17.35M","0.72%"
"26/09/2024","20,800.0","20,750.0","21,000.0","20,600.0","14.20M","0.48%"
"25/09/2024","20,700.0","20,500.0","20,950.0","20,400.0","19.76M","2.73%"
"24/09/2024","20,150.0","20,000.0","20,300.0","20,000.0","5.44M","0.25%"
"23/09/2024","20,100.0","20,400.0","20,600.0","20,100.0","5.46M","-0.99%"
"20/09/2024","20,300.0","20,400.0","20,700.0","20,300.0","15.04M","0.50%"
"19/09/2024","20,200.0","20,200.0","20,400.0","20,200.0","7.33M","0.50%"
"18/09/2024","20,100.0","20,050.0","20,100.0","19,900.0","9.28M","0.50%"
"17/09/2024","20,000.0","19,500.0","20,000.0","19,500.0","5.87M","2.04%"
"16/09/2024","19,600.0","19,950.0","20,100.0","19,600.0","9.09M","-1.75%"
"13/09/2024","19,950.0","20,200.0","20,300.0","19,900.0","7.26M","-0.99%"
"12/09/2024","20,150.0","20,500.0","20,650.0","20,150.0","4.84M","-0.74%"
"11/09/2024","20,300.0","20,100.0","20,450.0","19,950.0","8.51M","1.25%"
"10/09/2024","20,050.0","20,750.0","20,750.0","19,950.0","8.32M","-1.72%"
"09/09/2024","20,400.0","20,300.0","20,850.0","20,100.0","15.08M","2.26%"
"06/09/2024","19,950.0","19,850.0","20,000.0","19,600.0","7.39M","0.25%"
"05/09/2024","19,900.0","20,400.0","20,450.0","19,800.0","14.01M","-1.97%"
