"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","10,900.0","10,850.0","10,900.0","10,800.0","179.60K","0.46%"
"05/05/2025","10,850.0","10,850.0","10,900.0","10,650.0","235.20K","0.46%"
"29/04/2025","10,800.0","10,800.0","10,850.0","10,700.0","113.60K","1.41%"
"28/04/2025","10,650.0","11,000.0","11,000.0","10,650.0","254.00K","-2.29%"
"25/04/2025","10,900.0","10,850.0","11,250.0","10,850.0","193.60K","1.40%"
"24/04/2025","10,750.0","10,700.0","10,850.0","10,650.0","176.10K","0.47%"
"23/04/2025","10,700.0","10,700.0","10,750.0","10,600.0","127.20K","1.90%"
"22/04/2025","10,500.0","10,800.0","10,800.0","10,050.0","371.00K","-2.78%"
"21/04/2025","10,800.0","10,750.0","10,850.0","10,600.0","229.10K","-0.46%"
"18/04/2025","10,850.0","10,900.0","10,950.0","10,750.0","216.20K","0.93%"
"17/04/2025","10,750.0","10,700.0","10,750.0","10,550.0","144.20K","0.00%"
"16/04/2025","10,750.0","10,550.0","10,850.0","10,550.0","188.00K","0.47%"
"15/04/2025","10,700.0","10,900.0","10,900.0","10,550.0","360.70K","0.00%"
"14/04/2025","10,700.0","10,800.0","10,850.0","10,500.0","382.00K","0.94%"
"11/04/2025","10,600.0","10,600.0","10,600.0","10,100.0","1.03M","6.53%"
"10/04/2025","9,950.0","9,950.0","9,950.0","9,950.0","83.80K","6.99%"
"09/04/2025","9,300.0","9,170.0","9,800.0","9,170.0","999.90K","-5.68%"
"08/04/2025","9,860.0","10,450.0","10,450.0","9,860.0","1.07M","-6.98%"
"04/04/2025","10,600.0","10,400.0","10,850.0","10,400.0","876.50K","-4.93%"
"03/04/2025","11,150.0","11,150.0","11,400.0","11,150.0","2.07M","-6.69%"
"02/04/2025","11,950.0","12,000.0","12,050.0","11,950.0","311.70K","-0.42%"
"01/04/2025","12,000.0","11,950.0","12,050.0","11,900.0","173.70K","0.42%"
"31/03/2025","11,950.0","12,000.0","12,050.0","11,950.0","304.90K","-1.24%"
"28/03/2025","12,100.0","12,150.0","12,150.0","12,000.0","178.20K","-0.41%"
"27/03/2025","12,150.0","12,150.0","12,150.0","12,050.0","117.90K","0.00%"
"26/03/2025","12,150.0","12,100.0","12,200.0","12,100.0","174.70K","0.41%"
"25/03/2025","12,100.0","12,050.0","12,150.0","12,050.0","172.30K","0.41%"
"24/03/2025","12,050.0","12,250.0","12,250.0","12,000.0","171.10K","0.42%"
"21/03/2025","12,000.0","12,150.0","12,200.0","11,950.0","342.20K","-1.23%"
"20/03/2025","12,150.0","12,200.0","12,250.0","12,000.0","484.50K","0.41%"
"19/03/2025","12,100.0","12,050.0","12,200.0","12,050.0","228.20K","0.00%"
"18/03/2025","12,100.0","12,150.0","12,250.0","12,100.0","431.70K","-0.41%"
"17/03/2025","12,150.0","12,250.0","12,250.0","12,150.0","363.80K","0.00%"
"14/03/2025","12,150.0","12,400.0","12,500.0","12,150.0","718.90K","-2.41%"
"13/03/2025","12,450.0","12,600.0","12,650.0","12,400.0","478.30K","-1.19%"
"12/03/2025","12,600.0","12,750.0","12,750.0","12,550.0","389.80K","-0.40%"
"11/03/2025","12,650.0","12,500.0","12,700.0","12,400.0","631.90K","0.40%"
"10/03/2025","12,600.0","12,650.0","12,700.0","12,500.0","467.30K","0.80%"
"07/03/2025","12,500.0","12,650.0","12,650.0","12,450.0","559.70K","-0.40%"
"06/03/2025","12,550.0","12,500.0","12,600.0","12,400.0","372.10K","0.40%"
"05/03/2025","12,500.0","12,600.0","12,700.0","12,500.0","399.10K","-0.79%"
"04/03/2025","12,600.0","12,550.0","12,700.0","12,500.0","573.50K","0.40%"
"03/03/2025","12,550.0","12,850.0","12,850.0","12,550.0","765.80K","-1.95%"
"28/02/2025","12,800.0","12,850.0","12,850.0","12,700.0","581.20K","-0.78%"
"27/02/2025","12,900.0","12,950.0","13,000.0","12,700.0","691.00K","0.00%"
"26/02/2025","12,900.0","13,000.0","13,400.0","12,800.0","887.10K","-0.77%"
"25/02/2025","13,000.0","13,000.0","13,100.0","12,850.0","518.80K","0.00%"
"24/02/2025","13,000.0","13,000.0","13,150.0","12,900.0","612.10K","0.00%"
"21/02/2025","13,000.0","12,800.0","13,150.0","12,800.0","853.70K","0.39%"
"20/02/2025","12,950.0","13,100.0","13,100.0","12,900.0","809.80K","-0.38%"
"19/02/2025","13,000.0","12,950.0","13,100.0","12,900.0","829.90K","0.78%"
"18/02/2025","12,900.0","13,100.0","13,200.0","12,850.0","1.01M","-1.15%"
"17/02/2025","13,050.0","12,750.0","13,400.0","12,650.0","2.19M","3.57%"
"14/02/2025","12,600.0","12,900.0","12,900.0","12,600.0","1.18M","-0.79%"
"13/02/2025","12,700.0","12,500.0","12,700.0","12,500.0","756.70K","1.20%"
"12/02/2025","12,550.0","12,400.0","12,700.0","12,400.0","906.50K","2.03%"
"11/02/2025","12,300.0","12,250.0","12,450.0","12,250.0","778.50K","0.41%"
"10/02/2025","12,250.0","12,450.0","12,750.0","12,250.0","718.40K","-1.61%"
"07/02/2025","12,450.0","12,600.0","12,800.0","12,450.0","592.10K","-0.40%"
"06/02/2025","12,500.0","12,500.0","12,550.0","12,350.0","609.60K","0.00%"
"05/02/2025","12,500.0","12,650.0","12,700.0","12,450.0","779.90K","-0.79%"
