"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","12,300.0","12,400.0","12,450.0","12,250.0","2.23M","-0.40%"
"05/05/2025","12,350.0","12,150.0","12,500.0","11,900.0","7.61M","3.78%"
"29/04/2025","11,900.0","12,000.0","12,100.0","11,900.0","3.22M","-0.83%"
"28/04/2025","12,000.0","11,950.0","12,250.0","11,900.0","5.63M","0.42%"
"25/04/2025","11,950.0","12,000.0","12,050.0","11,750.0","4.54M","0.42%"
"24/04/2025","11,900.0","12,150.0","12,300.0","11,800.0","6.14M","-0.83%"
"23/04/2025","12,000.0","11,650.0","12,000.0","11,350.0","9.11M","6.19%"
"22/04/2025","11,300.0","11,700.0","11,850.0","11,050.0","15.59M","-4.64%"
"21/04/2025","11,850.0","12,100.0","12,150.0","11,850.0","3.81M","-1.66%"
"18/04/2025","12,050.0","12,000.0","12,350.0","11,900.0","8.41M","1.69%"
"17/04/2025","11,850.0","11,800.0","11,850.0","11,450.0","5.27M","0.42%"
"16/04/2025","11,800.0","11,800.0","12,100.0","11,700.0","5.89M","0.00%"
"15/04/2025","11,800.0","12,150.0","12,350.0","11,800.0","8.59M","-4.07%"
"14/04/2025","12,300.0","12,550.0","12,700.0","12,150.0","7.59M","-1.20%"
"11/04/2025","12,450.0","12,200.0","12,700.0","11,800.0","19.24M","1.63%"
"10/04/2025","12,250.0","12,250.0","12,250.0","12,250.0","1.78M","6.99%"
"09/04/2025","11,450.0","11,450.0","11,700.0","11,450.0","8.68M","-6.91%"
"08/04/2025","12,300.0","12,300.0","12,600.0","12,300.0","4.55M","-6.82%"
"04/04/2025","13,200.0","13,200.0","13,550.0","13,200.0","15.71M","-6.71%"
"03/04/2025","14,150.0","14,500.0","14,800.0","14,150.0","12.88M","-6.91%"
"02/04/2025","15,200.0","15,600.0","15,700.0","15,200.0","10.03M","0.33%"
"01/04/2025","15,150.0","15,000.0","15,250.0","14,950.0","6.59M","1.00%"
"31/03/2025","15,000.0","15,050.0","15,200.0","14,900.0","4.63M","-0.33%"
"28/03/2025","15,050.0","15,250.0","15,350.0","15,000.0","5.96M","-1.31%"
"27/03/2025","15,250.0","15,500.0","15,600.0","15,200.0","4.63M","-1.61%"
"26/03/2025","15,500.0","15,450.0","15,800.0","15,450.0","8.73M","0.00%"
"25/03/2025","15,500.0","15,500.0","15,700.0","15,250.0","6.93M","0.65%"
"24/03/2025","15,400.0","15,450.0","15,450.0","15,100.0","3.76M","-0.32%"
"21/03/2025","15,450.0","15,400.0","15,500.0","15,250.0","3.49M","0.00%"
"20/03/2025","15,450.0","15,150.0","15,500.0","15,000.0","7.19M","1.98%"
"19/03/2025","15,150.0","15,600.0","15,700.0","15,150.0","15.36M","-3.50%"
"18/03/2025","15,700.0","16,400.0","16,450.0","15,700.0","11.12M","-2.79%"
"17/03/2025","16,150.0","16,000.0","16,150.0","15,800.0","7.89M","1.57%"
"14/03/2025","15,900.0","16,100.0","16,200.0","15,800.0","7.66M","-1.24%"
"13/03/2025","16,100.0","16,100.0","16,500.0","15,900.0","14.40M","0.31%"
"12/03/2025","16,050.0","16,200.0","16,350.0","15,900.0","10.59M","-0.31%"
"11/03/2025","16,100.0","15,500.0","16,100.0","15,400.0","14.51M","1.90%"
"10/03/2025","15,800.0","16,150.0","16,200.0","15,700.0","9.80M","-1.86%"
"07/03/2025","16,100.0","16,050.0","16,300.0","15,900.0","9.69M","0.00%"
"06/03/2025","16,100.0","15,550.0","16,100.0","15,500.0","12.89M","3.87%"
