"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","5,560.0","5,600.0","5,600.0","5,530.0","401.50K","0.91%"
"05/05/2025","5,510.0","5,500.0","5,520.0","5,400.0","368.70K","0.18%"
"29/04/2025","5,500.0","5,410.0","5,550.0","5,410.0","657.80K","0.36%"
"28/04/2025","5,480.0","5,130.0","5,480.0","5,130.0","380.40K","4.98%"
"25/04/2025","5,220.0","5,190.0","5,280.0","5,170.0","467.60K","-0.38%"
"24/04/2025","5,240.0","5,000.0","5,280.0","5,000.0","496.10K","4.80%"
"23/04/2025","5,000.0","4,970.0","5,020.0","4,810.0","335.70K","4.38%"
"22/04/2025","4,790.0","4,790.0","4,920.0","4,580.0","923.10K","0.00%"
"21/04/2025","4,790.0","4,920.0","4,920.0","4,710.0","284.50K","0.00%"
"18/04/2025","4,790.0","4,900.0","4,900.0","4,750.0","410.80K","1.48%"
"17/04/2025","4,720.0","4,550.0","4,720.0","4,550.0","315.60K","1.07%"
"16/04/2025","4,670.0","4,690.0","4,770.0","4,610.0","439.30K","1.52%"
"15/04/2025","4,600.0","4,790.0","4,800.0","4,600.0","746.80K","-4.17%"
"14/04/2025","4,800.0","4,750.0","4,860.0","4,550.0","305.20K","1.05%"
"11/04/2025","4,750.0","4,850.0","4,850.0","4,430.0","762.10K","4.40%"
"10/04/2025","4,550.0","4,550.0","4,550.0","4,550.0","121.70K","6.81%"
"09/04/2025","4,260.0","4,260.0","4,430.0","4,260.0","1.05M","-6.99%"
"08/04/2025","4,580.0","4,580.0","4,590.0","4,580.0","1.60M","-6.91%"
"04/04/2025","4,920.0","4,920.0","4,950.0","4,920.0","2.96M","-6.82%"
"03/04/2025","5,280.0","5,280.0","5,600.0","5,280.0","2.37M","-6.88%"
"02/04/2025","5,670.0","6,020.0","6,020.0","5,670.0","1.84M","0.71%"
"01/04/2025","5,630.0","5,500.0","5,680.0","5,500.0","572.70K","2.36%"
"31/03/2025","5,500.0","5,510.0","5,690.0","5,500.0","679.20K","-3.34%"
"28/03/2025","5,690.0","5,990.0","5,990.0","5,590.0","718.70K","-2.74%"
"27/03/2025","5,850.0","6,100.0","6,230.0","5,850.0","979.50K","-2.34%"
"26/03/2025","5,990.0","5,650.0","5,990.0","5,580.0","1.12M","6.96%"
"25/03/2025","5,600.0","5,660.0","5,660.0","5,580.0","344.30K","0.36%"
"24/03/2025","5,580.0","5,600.0","5,650.0","5,530.0","538.70K","0.54%"
"21/03/2025","5,550.0","5,550.0","5,660.0","5,540.0","397.20K","0.00%"
"20/03/2025","5,550.0","5,650.0","5,720.0","5,550.0","596.30K","-1.77%"
"19/03/2025","5,650.0","5,800.0","5,850.0","5,650.0","711.50K","-2.59%"
"18/03/2025","5,800.0","5,830.0","5,960.0","5,800.0","600.40K","0.00%"
"17/03/2025","5,800.0","5,900.0","5,970.0","5,770.0","467.20K","-1.53%"
"14/03/2025","5,890.0","5,920.0","5,920.0","5,630.0","1.32M","-0.34%"
