Date,MBB_Price,Mở,Cao,Thấp,KL,% Thay đổi,SP500_Price,VNINDEX_Price,Banking_Industry_Index
2020-04-10,8270.4,"8,403.3","8,483.1","8,217.2",15.46M,-1.58%,2789.8,757.94,32070.515287341736
2020-04-13,8376.7,"8,270.4","8,536.3","8,243.8",11.84M,1.29%,2761.6,765.79,32264.534891949355
2020-04-14,8456.5,"8,509.7","8,509.7","8,243.8",13.20M,0.95%,2846.1,767.41,31855.88704185574
2020-04-15,8695.8,"8,509.7","8,775.6","8,456.5",19.39M,2.83%,2783.4,777.22,32435.1957636531
2020-04-16,8775.6,"8,642.7","8,775.6","8,509.7",8.54M,0.92%,2799.6,780.7,32526.021360232287
2020-04-17,9041.6,"8,882.0","9,121.3","8,828.8",14.24M,3.03%,2874.6,789.6,32695.91209342176
2020-04-20,8855.4,"9,041.6","9,121.3","8,828.8",20.49M,-2.06%,2823.2,794.97,32738.718538380985
2020-04-21,8323.5,"8,722.4","8,749.0","8,323.5",20.06M,-6.01%,2736.6,766.84,31944.45152080094
2020-04-22,8562.9,"8,110.8","8,589.5","8,110.8",9.83M,2.88%,2799.3,768.92,31614.67391870022
2020-04-23,8589.5,"8,722.4","8,749.0","8,536.3",6.71M,0.31%,2797.8,773.91,31590.2291784343
2020-04-24,8536.3,"8,509.7","8,589.5","8,456.5",5.01M,-0.62%,2836.7,776.66,31488.34361850665
2020-04-27,8350.1,"8,562.9","8,616.1","8,350.1",9.12M,-2.18%,2878.5,770.77,30666.193866023543
2020-04-28,8403.3,"8,403.3","8,483.1","8,297.0",5.45M,0.64%,2863.4,767.21,30769.594230158986
2020-04-29,8483.1,"8,456.5","8,562.9","8,429.9",5.14M,0.95%,2939.5,769.11,31268.52219401517
2020-05-04,8429.9,"8,483.1","8,536.3","8,429.9",4.26M,-0.63%,2842.7,762.47,31077.184997461365
2020-05-05,8403.3,"8,456.5","8,483.1","8,323.5",4.72M,-0.32%,2868.4,764.16,30874.671599022626
2020-05-06,8483.1,"8,456.5","8,509.7","8,350.1",7.20M,0.95%,2848.4,782.59,31288.57420588329
2020-05-07,8669.3,"8,483.1","8,695.8","8,483.1",11.73M,2.19%,2881.2,796.54,32206.74736219973
2020-05-08,8828.8,"8,722.4","9,041.6","8,722.4",23.78M,1.84%,2929.8,813.73,33647.65524783423
2020-05-11,8935.2,"8,988.4","9,041.6","8,775.6",26.08M,1.21%,2930.3,828.33,34266.40164693936
2020-05-12,9147.9,"8,935.2","9,147.9","8,828.8",22.46M,2.38%,2870.1,835.32,34728.25742788691
2020-05-13,9307.5,"9,254.3","9,387.3","9,041.6",19.81M,1.74%,2820.0,834.21,34905.31525164218
2020-05-14,9201.1,"9,201.1","9,334.1","9,094.7",13.86M,-1.14%,2852.5,832.4,34975.177007901504
2020-05-15,9015.0,"9,254.3","9,280.9","9,015.0",15.14M,-2.02%,2863.7,827.03,34696.15162710627
2020-05-18,9068.1,"9,015.0","9,094.7","8,935.2",8.82M,0.59%,2953.9,837.01,35594.3226224098
2020-05-19,9254.3,"9,254.3","9,307.5","9,174.5",17.24M,2.05%,2922.9,845.92,36003.6624575572
2020-05-20,9201.1,"9,174.5","9,254.3","9,121.3",7.64M,-0.57%,2971.6,852.91,36143.57513962492
2020-05-21,9360.7,"9,227.7","9,387.3","9,174.5",16.42M,1.73%,2948.5,862.73,36934.96618776378
2020-05-22,9174.5,"9,307.5","9,387.3","9,147.9",14.49M,-1.99%,2955.4,852.74,36633.47055580237
2020-05-25,9201.1,"9,174.5","9,280.9","9,147.9",7.98M,0.29%,2955.4,859.04,36748.75339304414
2020-05-26,9360.7,"9,254.3","9,360.7","9,227.7",17.22M,1.73%,2991.8,869.13,37560.25130184368
2020-05-27,9201.1,"9,467.0","9,467.0","9,201.1",20.33M,-1.71%,3036.1,857.48,37198.92785596421
2020-05-28,9201.1,"9,227.7","9,307.5","9,174.5",6.47M,0.00%,3029.7,861.39,37822.44601354997
2020-05-29,9147.9,"9,201.1","9,201.1","9,121.3",8.22M,-0.58%,3044.3,864.47,37894.45095674801
2020-06-01,9493.6,"9,174.5","9,600.0","9,174.5",32.24M,3.78%,3055.7,878.67,38729.23858566306
2020-06-02,9520.2,"9,573.4","9,733.0","9,520.2",26.36M,0.28%,3080.8,874.8,38596.68847539111
2020-06-03,9600.0,"9,573.4","9,626.6","9,520.2",8.27M,0.84%,3122.9,881.17,39150.74538444451
2020-06-04,9573.4,"9,653.2","9,733.0","9,573.4",16.23M,-0.28%,3112.3,883.9,39646.605559610325
2020-06-05,9520.2,"9,546.8","9,573.4","9,467.0",12.91M,-0.56%,3193.9,886.22,39699.86418541554
2020-06-08,9626.6,"9,653.2","9,733.0","9,600.0",15.26M,1.12%,3232.4,899.92,40208.36531748803
2020-06-09,9626.6,"9,653.2","9,679.8","9,600.0",11.19M,0.00%,3207.2,899.43,40033.083037952594
2020-06-10,9892.5,"9,600.0","10,025.5","9,546.8",19.36M,2.76%,3190.1,900.0,40213.71874147177
2020-06-11,9307.5,"9,945.7","10,025.5","9,307.5",18.53M,-5.91%,3002.1,867.37,38878.20421968712
2020-06-12,9387.3,"9,094.7","9,387.3","9,094.7",18.87M,0.86%,3041.3,863.52,38566.01414257608
2020-06-15,9041.6,"9,413.9","9,440.4","8,988.4",16.97M,-3.68%,3066.6,832.47,36799.72465728429
2020-06-16,9254.3,"9,174.5","9,307.5","9,121.3",11.05M,2.35%,3124.7,856.13,37632.36635198172
2020-06-17,9201.1,"9,254.3","9,307.5","9,174.5",4.06M,-0.57%,3113.5,854.44,37637.30582140704
2020-06-18,9201.1,"9,227.7","9,254.3","9,147.9",4.31M,0.00%,3115.3,855.27,37875.025179291086
2020-06-19,9307.5,"9,254.3","9,307.5","9,201.1",5.85M,1.16%,3097.7,868.56,38247.136392917215
2020-06-22,9307.5,"9,334.1","9,440.4","9,280.9",4.93M,0.00%,3117.9,871.28,38303.4218187732
2020-06-23,9307.5,"9,307.5","9,387.3","9,280.9",6.92M,0.00%,3131.3,868.2,38320.184201758006
2020-06-24,9334.1,"9,360.7","9,467.0","9,307.5",10.79M,0.29%,3050.3,859.71,37804.78220337639
2020-06-25,9227.7,"9,254.3","9,280.9","9,201.1",5.09M,-1.14%,3083.8,854.59,37397.31477088821
2020-06-26,9227.7,"9,280.9","9,307.5","9,174.5",3.76M,0.00%,3009.1,851.98,37269.27477310952
2020-06-29,8961.8,"9,147.9","9,201.1","8,908.6",11.21M,-2.88%,3053.2,829.36,36316.39017151653
2020-06-30,8828.8,"9,041.6","9,094.7","8,802.2",6.39M,-1.48%,3100.3,825.11,35801.98508472694
2020-07-01,8988.4,"8,855.4","8,988.4","8,828.8",3.89M,1.81%,3115.9,843.49,36847.8635872497
2020-07-02,8961.8,"8,988.4","9,015.0","8,908.6",3.06M,-0.30%,3130.0,842.38,36777.63893551867
2020-07-03,8961.8,"8,988.4","9,015.0","8,935.2",2.33M,0.00%,3130.0,847.61,36917.54163440485
2020-07-06,9041.6,"8,988.4","9,121.3","8,961.8",5.59M,0.89%,3179.7,861.16,37206.04086170787
2020-07-07,9094.7,"9,121.3","9,147.9","9,041.6",6.70M,0.59%,3145.3,863.42,37482.17168866817
2020-07-08,9121.3,"9,068.1","9,147.9","9,068.1",3.42M,0.29%,3169.9,864.5,37361.6586384984
2020-07-09,9280.9,"9,174.5","9,307.5","9,147.9",7.10M,1.75%,3152.1,876.46,37896.60444102434
2020-07-10,9174.5,"9,254.3","9,254.3","9,147.9",4.05M,-1.15%,3185.0,871.21,37494.43167978295
2020-07-13,9147.9,"9,174.5","9,254.3","9,121.3",4.37M,-0.29%,3155.2,868.72,37514.83763922825
2020-07-14,9121.3,"9,121.3","9,147.9","9,041.6",6.68M,-0.29%,3197.5,868.11,37515.46733808269
2020-07-15,9201.1,"9,201.1","9,254.3","9,147.9",5.53M,0.87%,3226.6,869.91,37767.589705835686
2020-07-16,9307.5,"9,307.5","9,307.5","9,201.1",7.11M,1.16%,3215.6,876.83,37839.87101196332
2020-07-17,9307.5,"9,307.5","9,334.1","9,254.3",7.44M,0.00%,3224.7,872.02,37612.01288991845
2020-07-20,9147.9,"9,307.5","9,334.1","9,147.9",5.75M,-1.71%,3251.8,861.4,37246.29496794974
2020-07-21,9201.1,"9,201.1","9,201.1","9,121.3",5.77M,0.58%,3257.3,861.69,37346.07597816775
2020-07-22,9121.3,"9,254.3","9,254.3","9,121.3",5.12M,-0.87%,3276.0,855.08,37118.47934185892
2020-07-23,9068.1,"9,121.3","9,147.9","9,015.0",6.03M,-0.58%,3235.7,856.75,37097.31014501952
2020-07-24,8775.6,"9,041.6","9,041.6","8,722.4",15.58M,-3.23%,3215.6,829.16,36122.55155174056
2020-07-27,8164.0,"8,456.5","8,562.9","8,164.0",18.78M,-6.97%,3239.4,785.17,34090.61961571415
2020-07-28,8669.3,"8,456.5","8,695.8","8,243.8",12.18M,6.19%,3218.4,813.36,35145.70160489322
2020-07-29,8323.5,"8,456.5","8,456.5","8,164.0",9.20M,-3.99%,3258.4,790.84,34485.2044362644
2020-07-30,8429.9,"8,403.3","8,456.5","8,350.1",5.15M,1.28%,3246.2,801.13,34633.60579443404
2020-07-31,8376.7,"8,350.1","8,456.5","8,243.8",5.31M,-0.63%,3271.1,798.39,34165.28980976105
2020-08-03,8616.1,"8,350.1","8,616.1","8,350.1",7.89M,2.86%,3294.6,814.65,35112.78452067401
2020-08-04,8722.4,"8,669.3","8,775.6","8,616.1",4.81M,1.23%,3306.5,827.57,36213.06316044173
2020-08-05,8802.2,"8,722.4","8,802.2","8,616.1",5.53M,0.91%,3327.8,837.8,36747.76789182242
2020-08-06,8695.8,"8,775.6","8,802.2","8,695.8",5.74M,-1.21%,3349.2,840.04,36621.51114381367
2020-08-07,8669.3,"8,695.8","8,749.0","8,669.3",3.84M,-0.30%,3351.3,841.46,36659.44240154857
2020-08-10,8749.0,"8,775.6","8,802.2","8,695.8",6.95M,0.92%,3360.5,843.2,36418.8419818805
2020-08-11,8775.6,"8,802.2","8,828.8","8,722.4",6.17M,0.30%,3333.7,843.08,36596.544239678864
2020-08-12,8961.8,"8,775.6","8,988.4","8,775.6",10.52M,2.12%,3380.3,846.92,36777.61629565577
2020-08-13,9015.0,"9,015.0","9,041.6","8,935.2",5.13M,0.59%,3373.4,855.05,37180.023877447406
2020-08-14,9121.3,"8,988.4","9,147.9","8,961.8",10.69M,1.18%,3372.8,850.74,36770.424489893056
2020-08-17,9094.7,"9,121.3","9,147.9","8,961.8",7.25M,-0.29%,3382.0,850.15,36855.01957128804
2020-08-18,9041.6,"9,094.7","9,121.3","8,988.4",5.10M,-0.58%,3389.8,846.43,36760.21425681465
2020-08-19,9068.1,"9,041.6","9,068.1","8,988.4",7.33M,0.29%,3374.8,851.21,37033.4912425031
2020-08-20,9068.1,"9,068.1","9,121.3","9,015.0",7.89M,0.00%,3385.5,848.21,36950.307350141215
2020-08-21,9201.1,"9,068.1","9,201.1","9,041.6",9.66M,1.47%,3397.2,854.78,37214.13713943452
