"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/01/2015","4,566.4","4,566.4","4,652.6","4,523.3","2.19M","0.00%"
"06/01/2015","4,609.5","4,480.3","4,609.5","4,480.3","2.76M","0.94%"
"07/01/2015","4,566.4","4,609.5","4,652.6","4,566.4","2.47M","-0.94%"
"08/01/2015","4,566.4","4,566.4","4,609.5","4,523.3","1.14M","0.00%"
"09/01/2015","4,652.6","4,566.4","4,652.6","4,523.3","4.34M","1.89%"
"12/01/2015","4,652.6","4,609.5","4,738.7","4,609.5","7.37M","0.00%"
"13/01/2015","4,652.6","4,609.5","4,652.6","4,609.5","823.64K","0.00%"
"14/01/2015","4,652.6","4,609.5","4,652.6","4,523.3","2.43M","0.00%"
"15/01/2015","4,652.6","4,609.5","4,695.7","4,609.5","2.11M","0.00%"
"16/01/2015","4,566.4","4,609.5","4,609.5","4,566.4","2.34M","-1.85%"
"19/01/2015","4,523.3","4,566.4","4,609.5","4,523.3","3.11M","-0.94%"
"20/01/2015","4,566.4","4,523.3","4,566.4","4,480.3","1.55M","0.95%"
"21/01/2015","4,609.5","4,566.4","4,609.5","4,523.3","6.66M","0.94%"
"22/01/2015","4,566.4","4,609.5","4,609.5","4,523.3","2.74M","-0.94%"
"23/01/2015","4,437.2","4,566.4","4,566.4","4,394.1","13.72M","-2.83%"
"26/01/2015","4,290.7","4,437.2","4,437.2","4,290.7","12.37M","-3.30%"
"27/01/2015","4,351.0","4,351.0","4,394.1","4,299.3","11.57M","1.41%"
"28/01/2015","4,351.0","4,394.1","4,394.1","4,290.7","1.99M","0.00%"
"29/01/2015","4,256.2","4,351.0","4,351.0","4,230.4","3.23M","-2.18%"
"30/01/2015","4,118.4","4,256.2","4,256.2","4,118.4","8.37M","-3.24%"
"02/02/2015","4,092.5","4,118.4","4,204.5","4,092.5","2.05M","-0.63%"
"03/02/2015","4,023.6","4,092.5","4,135.6","4,023.6","4.83M","-1.68%"
"04/02/2015","3,894.4","3,989.2","4,066.7","3,885.8","6.40M","-3.21%"
"05/02/2015","3,868.5","3,877.1","3,885.8","3,791.0","10.30M","-0.67%"
"06/02/2015","3,963.3","3,954.7","4,023.6","3,937.5","2.14M","2.45%"
"09/02/2015","3,859.9","3,963.3","4,006.4","3,859.9","3.90M","-2.61%"
"10/02/2015","3,989.2","3,877.1","4,006.4","3,799.6","7.42M","3.35%"
"11/02/2015","4,170.1","3,989.2","4,170.1","3,989.2","4.05M","4.53%"
"12/02/2015","4,204.5","4,178.7","4,256.2","4,135.6","3.48M","0.82%"
"13/02/2015","4,239.0","4,204.5","4,273.5","4,178.7","3.58M","0.82%"
"24/02/2015","4,247.6","4,247.6","4,247.6","4,178.7","4.42M","0.20%"
"25/02/2015","4,170.1","4,195.9","4,239.0","4,170.1","5.17M","-1.82%"
"26/02/2015","4,127.0","4,170.1","4,204.5","4,092.5","6.84M","-1.03%"
"27/02/2015","4,058.1","4,109.8","4,109.8","4,023.6","11.77M","-1.67%"
"02/03/2015","3,980.5","4,015.0","4,058.1","3,971.9","6.73M","-1.91%"
"03/03/2015","4,058.1","3,997.8","4,075.3","3,997.8","7.10M","1.95%"
"04/03/2015","4,058.1","4,058.1","4,092.5","4,049.5","3.43M","0.00%"
