"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","38,000.0","37,000.0","38,000.0","37,000.0","0.20K","2.70%"
"29/04/2025","37,000.0","36,250.0","37,000.0","36,250.0","0.40K","2.07%"
"28/04/2025","36,250.0","36,000.0","36,450.0","36,000.0","1.70K","-0.68%"
"25/04/2025","36,500.0","36,000.0","36,500.0","36,000.0","0.60K","1.39%"
"24/04/2025","36,000.0","36,000.0","36,000.0","36,000.0","0.10K","0.00%"
"23/04/2025","36,000.0","36,000.0","36,000.0","36,000.0","1.50K","2.86%"
"22/04/2025","35,000.0","35,000.0","35,000.0","35,000.0","1.70K","-6.42%"
"21/04/2025","37,400.0","37,500.0","37,500.0","37,400.0","0.40K","-0.27%"
"18/04/2025","37,500.0","37,400.0","37,500.0","36,500.0","0.90K","0.00%"
"17/04/2025","37,500.0","37,450.0","37,500.0","37,400.0","1.40K","0.13%"
"16/04/2025","37,450.0","35,000.0","37,450.0","35,000.0","1.20K","7.00%"
"15/04/2025","35,000.0","34,900.0","35,000.0","34,900.0","0.50K","-6.54%"
"10/04/2025","37,450.0","35,800.0","37,450.0","35,800.0","4.00K","7.00%"
"09/04/2025","35,000.0","35,000.0","35,000.0","33,000.0","4.70K","0.00%"
"08/04/2025","35,000.0","36,200.0","36,950.0","35,000.0","5.50K","-3.31%"
"04/04/2025","36,200.0","36,000.0","37,700.0","36,000.0","0.90K","0.56%"
"03/04/2025","36,000.0","36,000.0","36,000.0","36,000.0","1.60K","-4.76%"
"01/04/2025","37,800.0","36,550.0","37,800.0","36,550.0","0.20K","3.42%"
"28/03/2025","36,550.0","36,600.0","36,600.0","36,550.0","1.40K","0.00%"
"27/03/2025","36,550.0","36,500.0","36,550.0","36,500.0","0.30K","-1.22%"
"25/03/2025","37,000.0","37,000.0","37,000.0","37,000.0","0.20K","0.54%"
"24/03/2025","36,800.0","37,200.0","37,200.0","36,800.0","0.70K","-1.08%"
"21/03/2025","37,200.0","37,200.0","37,200.0","37,200.0","0.20K","-0.80%"
"18/03/2025","37,500.0","37,500.0","37,500.0","37,500.0","0.10K","0.00%"
"17/03/2025","37,500.0","37,500.0","37,500.0","37,500.0","1.60K","0.00%"
"14/03/2025","37,500.0","37,050.0","37,500.0","37,050.0","1.00K","1.21%"
"13/03/2025","37,050.0","36,500.0","37,200.0","36,500.0","1.20K","1.51%"
"11/03/2025","36,500.0","36,500.0","36,500.0","36,500.0","0.10K","-5.44%"
"10/03/2025","38,600.0","38,600.0","38,600.0","38,600.0","0.10K","4.61%"
"07/03/2025","36,900.0","37,400.0","37,400.0","36,900.0","0.50K","-2.12%"
"05/03/2025","37,700.0","38,300.0","39,000.0","37,700.0","1.40K","1.89%"
"04/03/2025","37,000.0","37,950.0","37,950.0","37,000.0","0.50K","-2.89%"
"03/03/2025","38,100.0","37,900.0","38,500.0","37,900.0","1.40K","2.97%"
"27/02/2025","37,000.0","36,100.0","37,000.0","36,100.0","0.40K","0.00%"
"25/02/2025","37,000.0","37,100.0","37,100.0","36,800.0","5.20K","0.00%"
"24/02/2025","37,000.0","37,000.0","37,000.0","37,000.0","1.00K","-1.33%"
"21/02/2025","37,500.0","37,500.0","37,500.0","37,500.0","0.20K","0.81%"
"20/02/2025","37,200.0","38,000.0","38,300.0","37,200.0","0.60K","-0.80%"
"19/02/2025","37,500.0","37,500.0","37,500.0","37,400.0","2.30K","1.35%"
"18/02/2025","37,000.0","37,000.0","37,000.0","37,000.0","0.20K","0.00%"
"17/02/2025","37,000.0","37,500.0","37,500.0","37,000.0","1.10K","-1.33%"
"14/02/2025","37,500.0","37,500.0","37,500.0","37,500.0","0.10K","0.00%"
"13/02/2025","37,500.0","37,450.0","37,500.0","37,450.0","0.50K","-1.45%"
"11/02/2025","38,050.0","38,050.0","38,050.0","38,050.0","0.10K","6.73%"
"10/02/2025","35,650.0","37,100.0","38,000.0","35,650.0","1.60K","-3.91%"
"07/02/2025","37,100.0","37,450.0","37,450.0","37,100.0","3.30K","-1.07%"
"06/02/2025","37,500.0","38,100.0","38,100.0","37,500.0","0.50K","-3.60%"
"04/02/2025","38,900.0","38,900.0","38,900.0","38,900.0","1.00K","4.85%"
"03/02/2025","37,100.0","37,000.0","37,100.0","37,000.0","0.70K","0.27%"
"24/01/2025","37,000.0","37,000.0","37,000.0","37,000.0","0.60K","0.00%"
"23/01/2025","37,000.0","37,000.0","37,000.0","37,000.0","0.30K","-2.63%"
"22/01/2025","38,000.0","36,500.0","38,700.0","36,500.0","0.70K","4.11%"
"20/01/2025","36,500.0","36,500.0","36,500.0","36,500.0","0.70K","0.00%"
"17/01/2025","36,500.0","35,550.0","36,500.0","35,500.0","2.20K","-1.35%"
"13/01/2025","37,000.0","37,000.0","37,000.0","37,000.0","0.10K","0.00%"
"09/01/2025","37,000.0","37,000.0","37,000.0","37,000.0","0.20K","-0.27%"
"08/01/2025","37,100.0","38,000.0","38,000.0","37,100.0","0.50K","-3.51%"
"06/01/2025","38,450.0","38,450.0","38,450.0","38,450.0","0.10K","6.51%"
"03/01/2025","36,100.0","37,450.0","37,450.0","36,100.0","1.50K","-3.73%"
"02/01/2025","37,500.0","37,700.0","37,700.0","37,500.0","0.50K","-1.45%"
"31/12/2024","38,050.0","38,050.0","38,050.0","38,050.0","0.50K","0.00%"
"30/12/2024","38,050.0","38,400.0","38,400.0","36,000.0","0.80K","-0.91%"
"27/12/2024","38,400.0","38,550.0","38,550.0","38,400.0","0.20K","-0.78%"
"26/12/2024","38,700.0","37,950.0","38,950.0","37,950.0","0.50K","1.98%"
"25/12/2024","37,950.0","37,000.0","37,950.0","36,700.0","2.30K","3.55%"
"24/12/2024","36,650.0","37,650.0","37,650.0","36,550.0","0.30K","-1.61%"
"23/12/2024","37,250.0","37,300.0","37,300.0","37,250.0","0.60K","0.00%"
"20/12/2024","37,250.0","37,250.0","37,250.0","37,250.0","0.20K","2.05%"
"19/12/2024","36,500.0","37,000.0","37,000.0","36,500.0","11.30K","-1.35%"
"18/12/2024","37,000.0","37,250.0","37,500.0","36,900.0","28.90K","-2.89%"
"17/12/2024","38,100.0","38,000.0","38,100.0","37,500.0","1.90K","0.26%"
"16/12/2024","38,000.0","38,000.0","38,000.0","38,000.0","1.30K","0.00%"
"12/12/2024","38,000.0","38,000.0","38,000.0","37,500.0","6.00K","0.00%"
"11/12/2024","38,000.0","38,700.0","38,700.0","38,000.0","15.70K","-1.55%"
"10/12/2024","38,600.0","38,500.0","38,700.0","38,000.0","7.40K","-0.26%"
"09/12/2024","38,700.0","38,700.0","38,700.0","38,700.0","0.60K","0.00%"
"06/12/2024","38,700.0","38,700.0","38,700.0","38,500.0","1.50K","0.13%"
"05/12/2024","38,650.0","38,300.0","38,650.0","38,300.0","0.70K","1.71%"
"02/12/2024","38,000.0","37,300.0","38,200.0","37,300.0","0.80K","-1.30%"
"29/11/2024","38,500.0","38,700.0","38,700.0","38,500.0","0.50K","-0.77%"
"28/11/2024","38,800.0","38,800.0","38,800.0","38,800.0","0.10K","0.00%"
"27/11/2024","38,800.0","38,800.0","38,800.0","38,800.0","0.10K","2.11%"
"26/11/2024","38,000.0","38,400.0","38,900.0","38,000.0","3.20K","-0.91%"
"21/11/2024","38,350.0","38,350.0","38,350.0","38,350.0","0.10K","-1.41%"
"20/11/2024","38,900.0","38,900.0","38,900.0","38,900.0","0.40K","0.00%"
"19/11/2024","38,900.0","38,900.0","38,900.0","38,900.0","0.20K","0.00%"
"18/11/2024","38,900.0","38,500.0","38,900.0","37,500.0","1.60K","-0.26%"
"15/11/2024","39,000.0","39,000.0","39,000.0","39,000.0","0.50K","0.00%"
"14/11/2024","39,000.0","39,750.0","39,750.0","39,000.0","0.50K","0.00%"
"13/11/2024","39,000.0","39,500.0","39,500.0","39,000.0","1.00K","2.63%"
"11/11/2024","38,000.0","39,000.0","39,000.0","38,000.0","4.50K","-2.56%"
"08/11/2024","39,000.0","39,000.0","39,000.0","39,000.0","1.80K","-1.27%"
"07/11/2024","39,500.0","39,000.0","39,500.0","39,000.0","2.20K","1.28%"
"06/11/2024","39,000.0","39,000.0","39,600.0","39,000.0","1.20K","0.00%"
"05/11/2024","39,000.0","39,000.0","39,000.0","39,000.0","0.60K","-1.14%"
