"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","55,900.0","56,800.0","56,800.0","55,800.0","392.50K","-1.06%"
"05/05/2025","56,500.0","57,300.0","57,300.0","56,100.0","535.50K","-0.53%"
"29/04/2025","56,800.0","56,800.0","56,800.0","56,100.0","439.00K","0.18%"
"28/04/2025","56,700.0","56,600.0","57,400.0","56,300.0","399.70K","-0.53%"
"25/04/2025","57,000.0","56,700.0","57,000.0","56,300.0","340.30K","0.18%"
"24/04/2025","56,900.0","57,000.0","57,200.0","55,900.0","490.40K","0.00%"
"23/04/2025","56,900.0","57,500.0","58,200.0","55,900.0","585.90K","-0.70%"
"22/04/2025","57,300.0","55,600.0","57,300.0","54,600.0","565.30K","2.14%"
"21/04/2025","56,100.0","55,700.0","56,700.0","55,500.0","588.20K","0.72%"
"18/04/2025","55,700.0","54,500.0","55,800.0","54,500.0","527.90K","1.46%"
"17/04/2025","54,900.0","54,600.0","54,900.0","54,100.0","456.70K","0.18%"
"16/04/2025","54,800.0","54,600.0","55,300.0","54,600.0","461.80K","-0.54%"
"15/04/2025","55,100.0","54,700.0","55,600.0","54,400.0","528.70K","-0.36%"
"14/04/2025","55,300.0","56,000.0","56,500.0","54,900.0","457.50K","-0.90%"
"11/04/2025","55,800.0","56,600.0","56,600.0","54,600.0","451.60K","0.36%"
"10/04/2025","55,600.0","56,700.0","56,800.0","54,600.0","438.30K","3.35%"
"09/04/2025","53,800.0","53,000.0","55,000.0","52,600.0","328.00K","-0.19%"
"08/04/2025","53,900.0","54,700.0","54,700.0","53,300.0","333.70K","-1.46%"
"04/04/2025","54,700.0","53,000.0","54,700.0","53,000.0","363.90K","1.11%"
"03/04/2025","54,100.0","54,500.0","54,900.0","53,400.0","319.20K","-1.46%"
"02/04/2025","54,900.0","55,000.0","55,000.0","53,700.0","379.20K","0.73%"
"01/04/2025","54,500.0","55,100.0","55,400.0","54,000.0","317.90K","-1.62%"
"31/03/2025","55,400.0","56,000.0","56,300.0","54,800.0","352.90K","-1.07%"
"28/03/2025","56,000.0","56,300.0","56,300.0","55,600.0","368.60K","-0.53%"
"27/03/2025","56,300.0","56,500.0","56,500.0","55,900.0","519.20K","-0.18%"
"26/03/2025","56,400.0","56,200.0","56,600.0","55,800.0","557.00K","0.00%"
"25/03/2025","56,400.0","56,000.0","56,400.0","55,600.0","472.20K","0.53%"
"24/03/2025","56,100.0","55,800.0","56,300.0","55,500.0","459.50K","0.18%"
"21/03/2025","56,000.0","55,900.0","56,000.0","55,100.0","289.80K","0.36%"
"20/03/2025","55,800.0","55,400.0","55,800.0","55,000.0","377.80K","0.18%"
"19/03/2025","55,700.0","55,900.0","56,000.0","55,300.0","348.50K","-0.36%"
"18/03/2025","55,900.0","55,500.0","56,100.0","55,200.0","527.60K","-0.18%"
"17/03/2025","56,000.0","56,200.0","56,500.0","55,600.0","440.30K","-0.88%"
"14/03/2025","56,500.0","56,500.0","56,500.0","55,500.0","542.30K","0.00%"
"13/03/2025","56,500.0","56,500.0","56,500.0","55,500.0","147.00K","-0.18%"
"12/03/2025","56,600.0","56,600.0","56,700.0","55,900.0","157.60K","-0.18%"
"11/03/2025","56,700.0","56,600.0","56,900.0","55,800.0","232.00K","-0.53%"
"10/03/2025","57,000.0","57,000.0","57,000.0","55,200.0","238.70K","0.00%"
"07/03/2025","57,000.0","57,800.0","57,900.0","57,000.0","311.70K","-1.72%"
"06/03/2025","58,000.0","58,000.0","58,200.0","57,300.0","304.00K","0.00%"
"05/03/2025","58,000.0","58,500.0","58,500.0","57,500.0","261.50K","-0.51%"
"04/03/2025","58,300.0","58,500.0","58,500.0","57,600.0","443.70K","-0.34%"
"03/03/2025","58,500.0","58,700.0","58,900.0","58,200.0","428.40K","0.00%"
"28/02/2025","58,500.0","58,300.0","58,500.0","57,900.0","146.50K","0.34%"
"27/02/2025","58,300.0","58,400.0","58,500.0","57,800.0","186.10K","-0.17%"
"26/02/2025","58,400.0","58,400.0","58,400.0","58,000.0","138.00K","0.34%"
"25/02/2025","58,200.0","58,400.0","58,400.0","57,900.0","200.60K","-0.34%"
"24/02/2025","58,400.0","58,500.0","58,500.0","58,100.0","158.90K","0.17%"
"21/02/2025","58,300.0","58,500.0","59,000.0","57,900.0","213.50K","-0.17%"
"20/02/2025","58,400.0","58,500.0","58,500.0","57,900.0","198.00K","0.17%"
"19/02/2025","58,300.0","58,300.0","58,300.0","58,100.0","175.60K","-0.34%"
"18/02/2025","58,500.0","58,800.0","58,800.0","58,300.0","177.00K","-0.34%"
"17/02/2025","58,700.0","58,700.0","58,800.0","58,500.0","201.10K","-0.17%"
"14/02/2025","58,800.0","58,800.0","59,000.0","58,400.0","295.40K","0.00%"
"13/02/2025","58,800.0","58,500.0","58,800.0","58,200.0","245.80K","0.51%"
"12/02/2025","58,500.0","58,800.0","59,000.0","58,400.0","304.40K","0.00%"
"11/02/2025","58,500.0","58,700.0","58,700.0","58,100.0","237.00K","-0.17%"
"10/02/2025","58,600.0","58,600.0","58,700.0","58,300.0","231.30K","-0.17%"
"07/02/2025","58,700.0","59,000.0","59,000.0","58,300.0","258.40K","-0.17%"
"06/02/2025","58,800.0","58,800.0","58,800.0","58,400.0","243.30K","0.00%"
"05/02/2025","58,800.0","58,800.0","59,100.0","58,300.0","281.70K","-0.34%"
"04/02/2025","59,000.0","59,000.0","59,000.0","58,600.0","222.40K","0.17%"
"03/02/2025","58,900.0","58,700.0","58,900.0","58,400.0","218.20K","0.34%"
"24/01/2025","58,700.0","58,600.0","58,700.0","58,100.0","220.30K","0.34%"
"23/01/2025","58,500.0","58,700.0","58,800.0","58,300.0","256.10K","0.00%"
"22/01/2025","58,500.0","59,000.0","59,000.0","58,200.0","262.90K","-0.34%"
"21/01/2025","58,700.0","59,000.0","59,000.0","58,100.0","340.70K","0.00%"
"20/01/2025","58,700.0","58,800.0","58,900.0","58,000.0","451.20K","-0.17%"
"17/01/2025","58,800.0","58,800.0","58,800.0","58,300.0","367.70K","0.00%"
"16/01/2025","58,800.0","58,900.0","59,000.0","58,400.0","350.10K","0.17%"
"15/01/2025","58,700.0","58,500.0","58,700.0","58,100.0","297.50K","0.51%"
"14/01/2025","58,400.0","58,400.0","59,200.0","57,600.0","290.00K","0.00%"
"13/01/2025","58,400.0","58,300.0","58,400.0","57,900.0","410.90K","0.52%"
"10/01/2025","58,100.0","58,800.0","58,800.0","58,100.0","455.70K","-0.68%"
"09/01/2025","58,500.0","58,700.0","58,700.0","58,100.0","427.80K","0.00%"
