"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","48,250","48,450","48,450","48,050","357.30K","0.73%"
"05/05/2025","47,900","47,900","48,150","47,150","1.25M","-0.42%"
"29/04/2025","48,100","50,800","50,800","48,100","4.41M","-6.05%"
"28/04/2025","51,200","49,450","51,300","49,250","1.97M","3.43%"
"25/04/2025","49,500","49,200","49,500","48,900","1.95M","0.61%"
"24/04/2025","49,200","49,000","49,350","48,800","1.70M","1.23%"
"23/04/2025","48,600","47,800","48,600","47,400","1.16M","4.29%"
"22/04/2025","46,600","47,000","47,500","45,000","1.20M","-1.06%"
"21/04/2025","47,100","47,300","47,600","47,100","472.50K","-0.53%"
"18/04/2025","47,350","47,400","48,000","47,200","845.00K","0.74%"
"17/04/2025","47,000","47,300","47,500","46,950","1.36M","-1.26%"
"16/04/2025","47,600","48,200","48,500","47,350","1.34M","-2.26%"
"15/04/2025","48,700","49,050","49,100","47,800","2.33M","-1.62%"
"14/04/2025","49,500","49,500","49,750","48,550","2.47M","1.02%"
"11/04/2025","49,000","48,000","49,600","47,150","4.01M","3.92%"
"10/04/2025","47,150","47,150","47,150","47,100","598.50K","6.92%"
"09/04/2025","44,100","41,500","44,600","41,500","3.15M","3.52%"
"08/04/2025","42,600","43,350","44,550","42,400","3.26M","-1.73%"
"04/04/2025","43,350","42,650","44,850","42,650","3.85M","-5.45%"
"03/04/2025","45,850","48,300","48,300","45,850","3.16M","-7.00%"
"02/04/2025","49,300","49,400","49,450","49,100","630.10K","-0.10%"
"01/04/2025","49,350","49,050","49,600","48,850","955.80K","0.92%"
"31/03/2025","48,900","49,250","49,400","48,900","1.13M","-0.81%"
"28/03/2025","49,300","49,600","49,700","49,200","1.14M","-0.50%"
"27/03/2025","49,550","49,550","49,700","49,450","988.30K","0.00%"
"26/03/2025","49,550","49,550","50,100","49,400","1.26M","0.00%"
"25/03/2025","49,550","50,100","50,200","49,550","1.60M","-0.70%"
"24/03/2025","49,900","50,300","50,400","49,900","1.55M","-0.80%"
"21/03/2025","50,300","50,800","50,800","50,300","1.20M","-0.59%"
"20/03/2025","50,600","50,900","51,100","50,500","1.38M","-0.39%"
"19/03/2025","50,800","51,300","51,300","50,800","2.19M","-0.59%"
"18/03/2025","51,100","51,600","51,900","51,100","1.62M","-0.97%"
"17/03/2025","51,600","52,000","52,100","51,400","738.90K","0.00%"
"14/03/2025","51,600","51,300","52,400","51,200","1.39M","0.98%"
"13/03/2025","51,100","51,100","51,500","51,000","1.13M","0.00%"
"12/03/2025","51,100","51,000","51,500","51,000","1.58M","-0.20%"
"11/03/2025","51,200","51,300","51,400","50,900","1.57M","-0.39%"
"10/03/2025","51,400","51,500","51,700","51,000","1.21M","0.39%"
"07/03/2025","51,200","51,900","52,000","51,100","1.42M","-0.39%"
"06/03/2025","51,400","51,800","51,900","51,300","1.21M","-0.77%"
"05/03/2025","51,800","52,000","52,100","51,600","480.30K","-0.38%"
"04/03/2025","52,000","51,700","52,100","51,500","736.10K","0.58%"
"03/03/2025","51,700","52,000","52,000","51,500","580.40K","0.39%"
"28/02/2025","51,500","52,000","52,300","51,500","928.90K","-1.34%"
"27/02/2025","52,200","52,200","52,300","51,800","457.20K","0.00%"
"26/02/2025","52,200","52,500","52,500","52,000","647.80K","-0.38%"
"25/02/2025","52,400","53,500","53,500","52,100","484.40K","0.00%"
"24/02/2025","52,400","51,800","52,400","51,800","713.80K","1.16%"
"21/02/2025","51,800","51,600","52,200","51,400","751.90K","0.78%"
"20/02/2025","51,400","51,500","51,600","51,300","580.30K","0.19%"
"19/02/2025","51,300","51,200","51,400","51,100","871.10K","0.20%"
"18/02/2025","51,200","51,100","51,500","51,000","489.70K","0.20%"
"17/02/2025","51,100","51,500","51,600","51,000","1.12M","-0.97%"
"14/02/2025","51,600","52,400","52,400","51,500","668.70K","-0.19%"
"13/02/2025","51,700","51,900","52,000","51,700","274.80K","-0.39%"
"12/02/2025","51,900","51,700","52,000","51,700","90.50K","0.58%"
"11/02/2025","51,600","52,100","52,200","51,500","747.00K","-1.15%"
"10/02/2025","52,200","52,200","52,400","52,000","645.10K","-0.38%"
"07/02/2025","52,400","52,700","52,800","52,300","768.40K","-0.57%"
"06/02/2025","52,700","53,200","53,200","52,700","352.60K","-0.75%"
"05/02/2025","53,100","52,800","53,100","52,700","269.80K","0.76%"
"04/02/2025","52,700","52,800","53,000","52,400","438.00K","0.00%"
"03/02/2025","52,700","53,600","53,800","52,600","598.20K","-2.04%"
"24/01/2025","53,800","53,700","54,100","53,700","302.90K","-0.37%"
"23/01/2025","54,000","54,000","54,100","53,600","235.10K","0.56%"
"22/01/2025","53,700","53,900","54,100","53,600","201.20K","0.19%"
"21/01/2025","53,600","54,400","54,400","53,500","257.90K","-0.92%"
"20/01/2025","54,100","53,600","54,200","53,600","200.40K","1.31%"
"17/01/2025","53,400","53,900","55,000","53,200","637.80K","-1.11%"
"16/01/2025","54,000","54,800","55,400","53,800","572.40K","-1.82%"
"15/01/2025","55,000","55,000","55,000","54,400","331.80K","0.92%"
"14/01/2025","54,500","54,000","54,500","54,000","329.20K","0.74%"
"13/01/2025","54,100","53,400","54,400","53,300","462.20K","0.93%"
"10/01/2025","53,600","53,600","54,000","53,600","475.60K","0.00%"
