"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","16,700.0","16,850.0","16,850.0","16,600.0","1.41M","-1.18%"
"05/05/2025","16,900.0","17,050.0","17,050.0","16,800.0","1.31M","-0.59%"
"29/04/2025","17,000.0","16,950.0","17,000.0","16,850.0","1.68M","0.29%"
"28/04/2025","16,950.0","17,000.0","17,000.0","16,800.0","1.04M","0.00%"
"25/04/2025","16,950.0","16,950.0","17,000.0","16,800.0","1.59M","0.00%"
"24/04/2025","16,950.0","17,000.0","17,000.0","16,850.0","1.24M","0.00%"
"23/04/2025","16,950.0","17,000.0","17,000.0","16,800.0","1.33M","0.30%"
"22/04/2025","16,900.0","16,950.0","16,950.0","16,300.0","3.21M","0.00%"
"21/04/2025","16,900.0","16,850.0","17,000.0","16,700.0","1.15M","0.30%"
"18/04/2025","16,850.0","15,950.0","17,000.0","15,900.0","4.39M","5.64%"
"17/04/2025","15,950.0","15,900.0","15,950.0","15,750.0","1.30M","0.00%"
"16/04/2025","15,950.0","16,000.0","16,050.0","15,700.0","1.60M","-0.31%"
"15/04/2025","16,000.0","14,750.0","16,000.0","14,750.0","4.60M","0.95%"
"14/04/2025","15,850.0","15,950.0","15,950.0","15,550.0","3.14M","0.00%"
"11/04/2025","15,850.0","15,650.0","15,850.0","15,300.0","3.60M","1.28%"
"10/04/2025","15,650.0","15,600.0","15,650.0","15,300.0","8.84M","6.83%"
"09/04/2025","14,650.0","14,500.0","15,000.0","14,000.0","2.30M","0.00%"
"08/04/2025","14,650.0","14,650.0","14,900.0","14,200.0","3.66M","-2.33%"
"04/04/2025","15,000.0","14,350.0","15,000.0","14,000.0","2.91M","3.45%"
"03/04/2025","14,500.0","14,300.0","14,900.0","14,250.0","4.79M","-4.29%"
"02/04/2025","15,150.0","15,150.0","15,200.0","14,900.0","2.66M","0.33%"
"01/04/2025","15,100.0","14,850.0","15,100.0","14,650.0","2.26M","1.68%"
"31/03/2025","14,850.0","14,850.0","14,850.0","14,300.0","1.53M","0.00%"
"28/03/2025","14,850.0","14,850.0","14,850.0","14,500.0","2.43M","0.00%"
"27/03/2025","14,850.0","14,800.0","14,900.0","14,650.0","1.23M","-0.34%"
"26/03/2025","14,900.0","14,900.0","15,050.0","14,600.0","1.77M","-0.33%"
"25/03/2025","14,950.0","15,100.0","15,100.0","14,800.0","2.30M","-0.66%"
"24/03/2025","15,050.0","15,100.0","15,100.0","14,900.0","1.46M","-0.33%"
"21/03/2025","15,100.0","14,800.0","15,100.0","14,800.0","2.89M","2.03%"
"20/03/2025","14,800.0","15,050.0","15,200.0","14,700.0","3.35M","-1.66%"
"19/03/2025","15,050.0","15,150.0","15,400.0","15,050.0","2.53M","-0.66%"
"18/03/2025","15,150.0","15,100.0","15,200.0","15,000.0","1.94M","0.33%"
"17/03/2025","15,100.0","15,000.0","15,100.0","14,850.0","2.07M","0.67%"
"14/03/2025","15,000.0","14,900.0","15,000.0","14,800.0","2.23M","0.67%"
"13/03/2025","14,900.0","14,950.0","15,000.0","14,800.0","3.31M","-0.67%"
"12/03/2025","15,000.0","14,950.0","15,100.0","14,800.0","2.20M","0.33%"
"11/03/2025","14,950.0","14,700.0","15,000.0","14,550.0","2.54M","-0.33%"
"10/03/2025","15,000.0","14,600.0","15,000.0","14,550.0","3.83M","2.74%"
"07/03/2025","14,600.0","14,200.0","14,600.0","14,200.0","2.56M","1.39%"
"06/03/2025","14,400.0","14,450.0","14,450.0","14,000.0","4.13M","0.00%"
"05/03/2025","14,400.0","13,650.0","14,400.0","13,600.0","7.28M","5.49%"
"04/03/2025","13,650.0","13,600.0","13,650.0","13,350.0","1.64M","0.00%"
"03/03/2025","13,650.0","13,650.0","13,700.0","13,550.0","1.55M","0.74%"
"28/02/2025","13,550.0","13,550.0","13,800.0","13,450.0","2.09M","0.00%"
"27/02/2025","13,550.0","13,650.0","13,700.0","13,400.0","2.82M","-0.73%"
"26/02/2025","13,650.0","13,600.0","13,700.0","13,450.0","2.38M","0.00%"
"25/02/2025","13,650.0","13,650.0","13,700.0","13,300.0","4.93M","0.00%"
"24/02/2025","13,650.0","13,550.0","13,650.0","13,350.0","1.65M","0.37%"
"21/02/2025","13,600.0","13,500.0","13,600.0","13,300.0","3.77M","0.00%"
"20/02/2025","13,600.0","13,750.0","13,750.0","13,400.0","3.43M","-1.09%"
"19/02/2025","13,750.0","13,650.0","13,750.0","13,600.0","3.44M","0.73%"
"18/02/2025","13,650.0","13,500.0","13,800.0","13,350.0","2.33M","1.11%"
"17/02/2025","13,500.0","13,400.0","13,500.0","13,350.0","2.52M","0.75%"
"14/02/2025","13,400.0","13,500.0","13,550.0","13,300.0","2.29M","-0.74%"
"13/02/2025","13,500.0","13,400.0","13,500.0","13,150.0","2.08M","0.75%"
"12/02/2025","13,400.0","13,600.0","13,600.0","13,300.0","2.26M","-1.47%"
"11/02/2025","13,600.0","13,550.0","13,650.0","13,500.0","4.54M","0.74%"
"10/02/2025","13,500.0","13,500.0","13,500.0","13,300.0","2.91M","0.00%"
"07/02/2025","13,500.0","13,500.0","13,550.0","13,350.0","4.24M","0.00%"
"06/02/2025","13,500.0","12,800.0","13,500.0","12,800.0","5.44M","5.47%"
"05/02/2025","12,800.0","12,750.0","12,800.0","12,650.0","2.57M","1.19%"
"04/02/2025","12,650.0","12,300.0","12,650.0","12,300.0","1.66M","2.02%"
"03/02/2025","12,400.0","12,350.0","12,450.0","12,200.0","1.49M","0.81%"
"24/01/2025","12,300.0","12,300.0","12,300.0","12,000.0","3.88M","0.41%"
"23/01/2025","12,250.0","11,950.0","12,300.0","11,850.0","4.12M","2.51%"
"22/01/2025","11,950.0","11,900.0","11,950.0","11,800.0","1.41M","0.42%"
"21/01/2025","11,900.0","11,900.0","11,900.0","11,750.0","1.06M","0.00%"
"20/01/2025","11,900.0","11,800.0","11,900.0","11,700.0","660.00K","0.42%"
"17/01/2025","11,850.0","11,900.0","11,900.0","11,750.0","1.02M","-0.42%"
"16/01/2025","11,900.0","11,850.0","11,900.0","11,700.0","766.80K","0.42%"
"15/01/2025","11,850.0","11,700.0","11,850.0","11,700.0","1.13M","0.42%"
"14/01/2025","11,800.0","11,800.0","11,850.0","11,700.0","943.20K","0.00%"
"13/01/2025","11,800.0","11,700.0","11,800.0","11,550.0","999.30K","0.85%"
"10/01/2025","11,700.0","11,800.0","11,800.0","11,550.0","1.19M","2.14%"
"09/01/2025","11,454.5","11,181.8","11,454.5","11,090.9","1.20M","2.44%"
"08/01/2025","11,181.8","11,000.0","11,181.8","10,954.5","384.01K","1.23%"
"07/01/2025","11,045.5","10,863.6","11,227.3","10,863.6","751.30K","0.00%"
"06/01/2025","11,045.5","11,454.5","11,545.5","11,000.0","1.19M","-3.19%"
"03/01/2025","11,409.1","11,681.8","11,727.3","11,409.1","788.37K","-2.33%"
"02/01/2025","11,681.8","11,909.1","11,909.1","11,681.8","507.54K","-1.91%"
